Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9BU76,Q9BU76,4,4,4,Multiple myeloma tumor-associated protein 2,MMTAG2,sp|Q9BU76|MMTA2_HUMAN Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1,4,4,18.6,24.6239296903217,25.1021746826193,4.42893354222385,4.39608992622293
Q9Y6X9;H7C3M1;H7C1V1,Q9Y6X9,4;1;1,4;1;1,4;1;1,MORC family CW-type zinc finger protein 2,MORC2,sp|Q9Y6X9|MORC2_HUMAN ATPase MORC2 OS=Homo sapiens OX=9606 GN=MORC2 PE=1 SV=2,4,4,5.3,23.0589542256766,23.447205337594,23.9352607467819,22.9629284741935
Q8WXI7,Q8WXI7,4,4,4,Mucin-16,MUC16,sp|Q8WXI7|MUC16_HUMAN Mucin-16 OS=Homo sapiens OX=9606 GN=MUC16 PE=1 SV=3,4,4,0.5,4.18694249382544,4.30484830045098,27.9406133567067,27.9203229190056
P43490;A0A0C4DFS8,P43490;A0A0C4DFS8,4;4,4;4,4;4,Nicotinamide phosphoribosyltransferase,NAMPT,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,4,4,11.4,4.18694249382544,4.30484830045098,25.7805920289145,24.2060538868937
O43639;E7EPF5;E7ERP6;E9PEE2,O43639;E7EPF5,5;3;2;2,4;2;1;1,4;2;1;1,Cytoplasmic protein NCK2,NCK2,sp|O43639|NCK2_HUMAN Cytoplasmic protein NCK2 OS=Homo sapiens OX=9606 GN=NCK2 PE=1 SV=2;tr|E7EPF5|E7EPF5_HUMAN Cytoplasmic protein NCK2 (Fragment) OS=Homo sapiens OX=9606 GN=NCK2 PE=1 SV=1,5,4,13.4,4.18694249382544,4.30484830045098,24.524264790087,24.1244728582439
Q92597;E7ESM1;E5RIR1;E5RGM5;E5RIV1;E5RIM2;E5RG99;E5RI76;E5RH82,Q92597;E7ESM1,8;4;2;2;2;2;1;1;1,8;4;2;2;2;2;1;1;1,4;1;1;1;1;1;1;0;0,Protein NDRG1,NDRG1,sp|Q92597|NDRG1_HUMAN Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1;tr|E7ESM1|E7ESM1_HUMAN Protein NDRG1 OS=Homo sapiens OX=9606 GN=NDRG1 PE=1 SV=1,8,4,34.5,4.18694249382544,4.30484830045098,27.4455329767631,26.8434997816332
P21359;J3KSB5;H0Y465;J3KRT8;J3QQN8,P21359;J3KSB5;H0Y465,4;4;3;1;1,4;4;3;1;1,4;4;3;1;1,Neurofibromin;Neurofibromin truncated,NF1,sp|P21359|NF1_HUMAN Neurofibromin OS=Homo sapiens OX=9606 GN=NF1 PE=1 SV=2;tr|J3KSB5|J3KSB5_HUMAN Neurofibromin (Fragment) OS=Homo sapiens OX=9606 GN=NF1 PE=1 SV=1;tr|H0Y465|H0Y465_HUMAN Neurofibromin (Fragment) OS=Homo sapiens OX=9606 GN=NF1 PE=1 SV=1,4,4,1.9,23.6841986038179,23.5532102242758,24.3251220581853,22.959377277431
Q9BYG3;C9J808;C9J6C5;H7BZL0,Q9BYG3;C9J808;C9J6C5,4;2;2;1,4;2;2;1,4;2;2;1,MKI67 FHA domain-interacting nucleolar phosphoprotein,NIFK,sp|Q9BYG3|MK67I_HUMAN MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1;tr|C9J808|C9J808_HUMAN MKI67 FHA domain-interacting nucleolar phosphoprotein (Fragment) OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=8;tr|C9J6C,4,4,17.7,24.0622523811757,26.1784706456324,23.6921088963124,23.7718655781471
Q0D2K0,Q0D2K0,4,4,4,Magnesium transporter NIPA4,NIPAL4,sp|Q0D2K0|NIPA4_HUMAN Magnesium transporter NIPA4 OS=Homo sapiens OX=9606 GN=NIPAL4 PE=1 SV=3,4,4,20.0,4.18694249382544,4.30484830045098,25.6658988395756,25.0638575022734
Q9H1E3,Q9H1E3,4,4,4,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,NUCKS1,sp|Q9H1E3|NUCKS_HUMAN Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,4,4,22.6,21.5060576512205,22.9779382015116,27.0572403327168,25.5362033357031
Q96RS6,Q96RS6,4,4,4,NudC domain-containing protein 1,NUDCD1,sp|Q96RS6|NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NUDCD1 PE=1 SV=2,4,4,10.5,21.7427929642365,23.4848792547344,23.6966789312038,25.4864029652184
P50583,P50583,4,4,4,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],NUDT2,sp|P50583|AP4A_HUMAN Bis(5-nucleosyl)-tetraphosphatase [asymmetrical] OS=Homo sapiens OX=9606 GN=NUDT2 PE=1 SV=3,4,4,27.2,4.18694249382544,4.30484830045098,26.2597408217034,26.2307582676581
P57740;G3V1T4,P57740,4;1,4;1,4;1,Nuclear pore complex protein Nup107,NUP107,sp|P57740|NU107_HUMAN Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,4,4,5.2,21.5088276712333,22.8114311417629,23.7089356787746,23.548043898107
Q12769;E9PR16;G3V198;E9PSI3,Q12769;E9PR16;G3V198,4;4;4;1,4;4;4;1,4;4;4;1,Nuclear pore complex protein Nup160,NUP160,sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3;tr|E9PR16|E9PR16_HUMAN Nuclear pore complex protein Nup160 (Fragment) OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=2;tr|G3V198|G3V198_HUMAN Nuclear pore comp,4,4,3.8,23.1171841555075,23.6122304908168,24.2009758101782,23.8351853444402
Q99567;J3KMX1;I3L4K7;I3L2W3,Q99567;J3KMX1,4;2;1;1,4;2;1;1,4;2;1;1,Nuclear pore complex protein Nup88,NUP88,sp|Q99567|NUP88_HUMAN Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2;tr|J3KMX1|J3KMX1_HUMAN Nuclear pore complex protein Nup88 (Fragment) OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=1,4,4,7.2,21.990578435792,22.83202001451,23.8301639108483,25.4615456432315
Q9BZF1;F8VUA7;F8VQX7;Q9H0X9,Q9BZF1;F8VUA7;F8VQX7,4;3;3;1,4;3;3;1,4;3;3;1,Oxysterol-binding protein-related protein 8;Oxysterol-binding protein,OSBPL8,sp|Q9BZF1|OSBL8_HUMAN Oxysterol-binding protein-related protein 8 OS=Homo sapiens OX=9606 GN=OSBPL8 PE=1 SV=3;tr|F8VUA7|F8VUA7_HUMAN Oxysterol-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=OSBPL8 PE=1 SV=8;tr|F8VQX7|F8VQX7_HUMAN Oxysterol-binding p,4,4,5.1,4.18694249382544,4.30484830045098,25.211114152193,25.5080000068848
Q9BWT3;F8WAT4;H7C3W0,Q9BWT3;F8WAT4;H7C3W0,7;7;4,4;4;2,4;4;2,Poly(A) polymerase gamma,PAPOLG,sp|Q9BWT3|PAPOG_HUMAN Poly(A) polymerase gamma OS=Homo sapiens OX=9606 GN=PAPOLG PE=1 SV=2;tr|F8WAT4|F8WAT4_HUMAN Poly(A) polymerase gamma OS=Homo sapiens OX=9606 GN=PAPOLG PE=1 SV=1;tr|H7C3W0|H7C3W0_HUMAN Poly(A) polymerase gamma (Fragment) OS=Homo sapien,7,4,9.9,23.5854311346503,24.5020922185607,4.42893354222385,4.39608992622293
Q86W56,Q86W56,4,4,4,Poly(ADP-ribose) glycohydrolase,PARG,sp|Q86W56|PARG_HUMAN Poly(ADP-ribose) glycohydrolase OS=Homo sapiens OX=9606 GN=PARG PE=1 SV=1,4,4,4.7,22.0412807060826,22.8418215321235,25.2751185220631,25.2125248831552
O95453;H3BRK1;A0A494C156;A0A494C1G3;A0A494BZU6;A0A494BZW7;A0A494C0P9;A0A494C1K5;A0A494C0Q2;A0A494C1N1;A0A494C0K5;A0A494C0W0;A0A494C0Q6;F5H1Z4;A0A494C002,O95453;H3BRK1;A0A494C156;A0A494C1G3;A0A494BZU6;A0A494BZW7;A0A494C0P9;A0A494C1K5;A0A494C0Q2;A0A494C1N1;A0A494C0K5;A0A494C0W0;A0A494C0Q6;F5H1Z4;A0A494C002,4;4;4;4;4;4;4;4;4;4;4;4;3;2;2,4;4;4;4;4;4;4;4;4;4;4;4;3;2;2,4;4;4;4;4;4;4;4;4;4;4;4;3;2;2,Poly(A)-specific ribonuclease PARN,PARN,sp|O95453|PARN_HUMAN Poly(A)-specific ribonuclease PARN OS=Homo sapiens OX=9606 GN=PARN PE=1 SV=1;tr|H3BRK1|H3BRK1_HUMAN Poly(A)-specific ribonuclease PARN (Fragment) OS=Homo sapiens OX=9606 GN=PARN PE=1 SV=1;tr|A0A494C156|A0A494C156_HUMAN Poly(A)-specific,4,4,5.9,22.4596897571356,24.9766620076691,4.42893354222385,4.39608992622293
P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6;H7C4X2;F8WDT3;F8WAV5;F8WAX2;C9J0F2,P22061;A0A3F2YNX8;A0A0A0MRJ6;H7BY58;F6S8N6,4;4;4;4;3;1;1;1;1;1,4;4;4;4;3;1;1;1;1;1,4;4;4;4;3;1;1;1;1;1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,PCMT1,sp|P22061|PIMT_HUMAN Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4;tr|A0A3F2YNX8|A0A3F2YNX8_HUMAN Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=1;tr|A0A0A0MRJ6|A0A0A,4,4,26.0,24.3130596085089,24.3544743119364,26.4749407171659,25.8079627281074
Q13371,Q13371,4,4,4,Phosducin-like protein,PDCL,sp|Q13371|PHLP_HUMAN Phosducin-like protein OS=Homo sapiens OX=9606 GN=PDCL PE=1 SV=3,4,4,13.0,4.18694249382544,4.30484830045098,24.7766069232908,25.464041386167
Q9HB21;Q5RGS4;R4GMZ9,Q9HB21;Q5RGS4,4;3;1,4;3;1,4;3;1,Pleckstrin homology domain-containing family A member 1,PLEKHA1,sp|Q9HB21|PKHA1_HUMAN Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=2;tr|Q5RGS4|Q5RGS4_HUMAN Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=1,4,4,10.4,4.18694249382544,4.30484830045098,25.2610151208924,25.4241588547425
A1L390;G3V311;G3V3I3;G3V278,A1L390;G3V311,4;3;1;1,4;3;1;1,4;3;1;1,Pleckstrin homology domain-containing family G member 3,PLEKHG3,sp|A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1;tr|G3V311|G3V311_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1,4,4,4.2,4.18694249382544,4.30484830045098,24.9636253196707,25.2214399127379
Q8TF01,Q8TF01,4,4,4,Arginine/serine-rich protein PNISR,PNISR,sp|Q8TF01|PNISR_HUMAN Arginine/serine-rich protein PNISR OS=Homo sapiens OX=9606 GN=PNISR PE=1 SV=2,4,4,4.7,25.9971839612302,25.8546464216469,26.6499301954625,25.808748389387
Q9Y253;Q5JTF2,Q9Y253,4;1,4;1,4;1,DNA polymerase eta,POLH,sp|Q9Y253|POLH_HUMAN DNA polymerase eta OS=Homo sapiens OX=9606 GN=POLH PE=1 SV=1,4,4,8.3,22.4845111958653,23.4748169709686,23.0071525410385,24.1450713893081
Q8NEY8;F8W6A0;F8W0Q9;F8VPY7;F8VWU8;F8WF16;B7Z8L1;F8VRK2;REV__K7EN69,Q8NEY8;F8W6A0;F8W0Q9;F8VPY7;F8VWU8;F8WF16;B7Z8L1,4;3;3;2;2;2;2;1;1,4;3;3;2;2;2;2;1;1,4;3;3;2;2;2;2;1;1,Periphilin-1,PPHLN1,sp|Q8NEY8|PPHLN_HUMAN Periphilin-1 OS=Homo sapiens OX=9606 GN=PPHLN1 PE=1 SV=2;tr|F8W6A0|F8W6A0_HUMAN Periphilin-1 OS=Homo sapiens OX=9606 GN=PPHLN1 PE=1 SV=1;tr|F8W0Q9|F8W0Q9_HUMAN Periphilin-1 OS=Homo sapiens OX=9606 GN=PPHLN1 PE=1 SV=1;tr|F8VPY7|F8VPY7_,4,4,9.6,24.0644743813357,24.4115104708013,20.7788439479617,21.9231290251893
Q9Y478;F5H2X8;F5H610,Q9Y478;F5H2X8,4;2;1,4;2;1,4;2;1,5-AMP-activated protein kinase subunit beta-1,PRKAB1,sp|Q9Y478|AAKB1_HUMAN 5-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=4;tr|F5H2X8|F5H2X8_HUMAN 5-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens OX=9606 GN=PRKAB1 PE=1 SV=1,4,4,20.0,4.18694249382544,4.30484830045098,24.5272512427575,25.3302951625531
O75475,O75475,5,4,4,PC4 and SFRS1-interacting protein,PSIP1,sp|O75475|PSIP1_HUMAN PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,5,4,10.0,22.0773764317368,23.4596397339029,25.4176715013451,25.013717610678
Q92692;K7EKE8,Q92692;K7EKE8,4;4,4;4,4;4,Nectin-2,PVRL2,sp|Q92692|NECT2_HUMAN Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1;tr|K7EKE8|K7EKE8_HUMAN Nectin-2 (Fragment) OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1,4,4,8.7,4.18694249382544,4.30484830045098,25.6677133972583,22.8190938400658
Q2TAL8,Q2TAL8,4,4,4,Glutamine-rich protein 1,QRICH1,sp|Q2TAL8|QRIC1_HUMAN Glutamine-rich protein 1 OS=Homo sapiens OX=9606 GN=QRICH1 PE=1 SV=1,4,4,5.3,23.5494547319324,24.2190408644432,24.3989784864771,25.0678419991748
Q9H2M9,Q9H2M9,4,4,4,Rab3 GTPase-activating protein non-catalytic subunit,RAB3GAP2,sp|Q9H2M9|RBGPR_HUMAN Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,4,4,3.1,4.18694249382544,4.30484830045098,25.2880293431501,24.0540756420099
Q8TBN0;E9PK89;H0YD19,Q8TBN0;E9PK89,4;4;1,4;4;1,4;4;1,Guanine nucleotide exchange factor for Rab-3A,RAB3IL1,sp|Q8TBN0|R3GEF_HUMAN Guanine nucleotide exchange factor for Rab-3A OS=Homo sapiens OX=9606 GN=RAB3IL1 PE=1 SV=1;tr|E9PK89|E9PK89_HUMAN Guanine nucleotide exchange factor for Rab-3A OS=Homo sapiens OX=9606 GN=RAB3IL1 PE=1 SV=9,4,4,10.7,4.18694249382544,4.30484830045098,24.6242189393597,23.3211353810869
Q9Y3P9;A0A0U1RQV7;E9PS63;F5H8L0;B7ZAP0,Q9Y3P9,4;1;1;1;1,4;1;1;1;1,4;1;1;1;1,Rab GTPase-activating protein 1,RABGAP1,sp|Q9Y3P9|RBGP1_HUMAN Rab GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RABGAP1 PE=1 SV=3,4,4,4.5,4.18694249382544,4.30484830045098,25.4489702565988,24.5701637683274
Q9NS91;F8WE49;C9J0Q4,Q9NS91;F8WE49,4;4;1,4;4;1,4;4;1,E3 ubiquitin-protein ligase RAD18,RAD18,sp|Q9NS91|RAD18_HUMAN E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2;tr|F8WE49|F8WE49_HUMAN E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=1,4,4,7.3,22.0391560155351,23.4802517874814,25.2781000313522,24.7062502226974
A0A087WZ13;E9PAU2;Q8IY67,A0A087WZ13;E9PAU2;Q8IY67,4;4;3,4;4;3,4;4;3,Ribonucleoprotein PTB-binding 1,RAVER1,tr|A0A087WZ13|A0A087WZ13_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;tr|E9PAU2|E9PAU2_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;sp|Q8IY67|RAVR1_HUMAN Ribonucleoprotein PTB-bindin,4,4,8.7,22.4955564379198,24.8825034976387,25.0527497877722,24.1847258532807
Q9NW64;E5RJW4,Q9NW64;E5RJW4,4;2,4;2,4;2,Pre-mRNA-splicing factor RBM22,RBM22,sp|Q9NW64|RBM22_HUMAN Pre-mRNA-splicing factor RBM22 OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1;tr|E5RJW4|E5RJW4_HUMAN Pre-mRNA-splicing factor RBM22 (Fragment) OS=Homo sapiens OX=9606 GN=RBM22 PE=1 SV=1,4,4,11.4,24.3034758669193,25.469672120798,23.719836652191,24.30382421777
Q5VTR2;O75150;H3BP71,Q5VTR2,4;1;1,4;1;1,4;1;1,E3 ubiquitin-protein ligase BRE1A,RNF20,sp|Q5VTR2|BRE1A_HUMAN E3 ubiquitin-protein ligase BRE1A OS=Homo sapiens OX=9606 GN=RNF20 PE=1 SV=2,4,4,4.2,21.0235053075348,22.467273190795,21.8492294572852,21.9086726204212
Q9H7B2;Q5VXN0,Q9H7B2;Q5VXN0,4;3,4;3,4;3,Ribosome production factor 2 homolog,RPF2,sp|Q9H7B2|RPF2_HUMAN Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2;tr|Q5VXN0|Q5VXN0_HUMAN Ribosome production factor 2 homolog (Fragment) OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=1,4,4,10.5,26.0447481308714,25.1235654159939,4.42893354222385,4.39608992622293
P27635;A0A087WV22;X1WI28;Q96L21;F8W7C6;H7C123;H7C2C5;A6QRI9,P27635;A0A087WV22;X1WI28;Q96L21;F8W7C6;H7C123;H7C2C5,4;4;4;3;3;2;2;1,4;4;4;3;3;2;2;1,4;4;4;3;3;2;2;1,60S ribosomal protein L10;60S ribosomal protein L10-like,RPL10;RPL10L,sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=4;tr|A0A087WV22|A0A087WV22_HUMAN 60S ribosomal protein L10 OS=Homo sapiens OX=9606 GN=RPL10 PE=1 SV=1;tr|X1WI28|X1WI28_HUMAN 60S ribosomal protein L10 (Fragment) OS=Hom,4,4,20.1,20.2399294445228,21.9780085430944,25.045227400401,24.6319527981274
Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,Q02543;M0R3D6;M0R1A7;M0R117;M0R0P7,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,60S ribosomal protein L18a,RPL18A,sp|Q02543|RL18A_HUMAN 60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2;tr|M0R3D6|M0R3D6_HUMAN 60S ribosomal protein L18a (Fragment) OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=1;tr|M0R1A7|M0R1A7_HUMAN 60S ribosomal protein L18a OS=Homo,4,4,22.2,26.7008113644647,26.3471751446291,24.6520659398065,24.1108407430257
P83731;C9JXB8;C9JNW5,P83731;C9JXB8;C9JNW5,4;4;4,4;4;4,4;4;4,60S ribosomal protein L24,RPL24,sp|P83731|RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1;tr|C9JXB8|C9JXB8_HUMAN 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1;tr|C9JNW5|C9JNW5_HUMAN 60S ribosomal protein L24 OS=Homo sapiens OX=9606 G,4,4,25.5,24.6561642751599,26.5363515735341,27.4191674640474,27.2580879411878
P46779;H0YMF4;H0YKD8;H0YLP6,P46779;H0YMF4;H0YKD8;H0YLP6,4;4;4;3,4;4;4;3,4;4;4;3,60S ribosomal protein L28,RPL28,sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;tr|H0YMF4|H0YMF4_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=1;tr|H0YKD8|H0YKD8_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 G,4,4,26.3,24.3593088153408,23.9339110460184,23.9926534899255,23.8396128595491
P32969;A0A2R8Y5Y7;H0Y9V9;E7ESE0;D6RAN4;H0Y9R4,P32969;A0A2R8Y5Y7;H0Y9V9;E7ESE0;D6RAN4;H0Y9R4,4;4;3;3;3;2,4;4;3;3;3;2,4;4;3;3;3;2,60S ribosomal protein L9,RPL9,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|A0A2R8Y5Y7|A0A2R8Y5Y7_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1;tr|H0Y9V9|H0Y9V9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens OX=9606,4,4,21.9,25.7552924580968,26.2217902089739,4.42893354222385,4.39608992622293
P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,P62847;E7ETK0;A0A2R8Y849;A0A2R8YD14;A0A2R8Y8A0,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,40S ribosomal protein S24,RPS24,sp|P62847|RS24_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|E7ETK0|E7ETK0_HUMAN 40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1;tr|A0A2R8Y849|A0A2R8Y849_HUMAN 40S ribosomal protein S24 OS=Homo sapiens O,4,4,34.6,23.2599742282827,24.5133415954876,24.4134487089445,24.8266287820136
P62701;P22090;C9JEH7;Q8TD47,P62701;P22090;C9JEH7;Q8TD47,4;3;3;2,4;3;3;2,4;3;3;2,"40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 1;40S ribosomal protein S4, Y isoform 2",RPS4X;RPS4Y1;RPS4Y2,"sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2;sp|P22090|RS4Y1_HUMAN 40S ribosomal protein S4, Y isoform 1 OS=Homo sapiens OX=9606 GN=RPS4Y1 PE=1 SV=2;tr|C9JEH7|C9JEH7_HUMAN 40S ribosomal protein S4, Y i",4,4,15.6,24.632341178681,24.4470791892932,24.9006710976722,23.6133551362128
P62753;A2A3R7;A2A3R5,P62753;A2A3R7;A2A3R5,4;3;2,4;3;2,4;3;2,40S ribosomal protein S6,RPS6,sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R7|A2A3R7_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R5|A2A3R5_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6,4,4,18.9,24.690351427838,25.1709284196016,25.911159532868,25.0410962911225
P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4,P46781;B5MCT8;C9JM19,4;4;4;1;1,4;4;4;1;1,4;4;4;1;1,40S ribosomal protein S9,RPS9,sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3;tr|B5MCT8|B5MCT8_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=1;tr|C9JM19|C9JM19_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9,4,4,16.5,24.6999117141707,25.6429258076655,23.3473272358467,24.0700209771977
Q96T23;H0YER1;H0YCN2;H7C306;H0YDG9,Q96T23;H0YER1;H0YCN2,4;3;3;1;1,4;3;3;1;1,4;3;3;1;1,Remodeling and spacing factor 1,RSF1,sp|Q96T23|RSF1_HUMAN Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2;tr|H0YER1|H0YER1_HUMAN Remodeling and spacing factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=1;tr|H0YCN2|H0YCN2_HUMAN Remodeling and spacing factor,4,4,3.6,24.0372466472187,25.4211436158771,4.42893354222385,4.39608992622293
Q7L4I2;H0YGP9;E1B6W4,Q7L4I2,4;1;1,4;1;1,4;1;1,Arginine/serine-rich coiled-coil protein 2,RSRC2,sp|Q7L4I2|RSRC2_HUMAN Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1,4,4,9.7,25.1419574337696,25.1967804017955,25.742808380198,25.4651630634685
Q9NXZ1;F5H2Z8,Q9NXZ1,4;1,4;1,4;1,Sarcoma antigen 1,SAGE1,sp|Q9NXZ1|SAGE1_HUMAN Sarcoma antigen 1 OS=Homo sapiens OX=9606 GN=SAGE1 PE=1 SV=2,4,4,5.5,22.6073619229326,23.7658752722871,27.29070315139,26.6317308194308
Q9UPN6;A0A0A0MT33,Q9UPN6;A0A0A0MT33,7;7,7;7,4;4,Protein SCAF8,SCAF8,sp|Q9UPN6|SCAF8_HUMAN SR-related and CTD-associated factor 8 OS=Homo sapiens OX=9606 GN=SCAF8 PE=1 SV=1;tr|A0A0A0MT33|A0A0A0MT33_HUMAN SR-related and CTD-associated factor 8 OS=Homo sapiens OX=9606 GN=SCAF8 PE=1 SV=1,7,4,6.3,24.4562591494874,25.8376654643725,25.3081367947499,25.412932099999
O94979;D6REX3;D6RHZ5;H0YAB3;H0Y8V7;H0Y9T9;H0Y9K1;D6RE64;D6RCQ9;H0Y8W8;H0YAF5,O94979;D6REX3;D6RHZ5,13;13;11;6;5;4;4;2;2;2;1,13;13;11;6;5;4;4;2;2;2;1,4;4;4;0;0;4;0;2;2;0;0,Protein transport protein Sec31A,SEC31A,sp|O94979|SC31A_HUMAN Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3;tr|D6REX3|D6REX3_HUMAN Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=1;tr|D6RHZ5|D6RHZ5_HUMAN Protein transport protein Sec31A O,13,4,12.5,4.18694249382544,4.30484830045098,27.9824511332582,27.7177074825537
