Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P61923;F8VXB1;F8VUC5;F8W156;F8VYZ4;F8VVA7;F8W651;F8VXR1,P61923;F8VXB1;F8VUC5;F8W156;F8VYZ4;F8VVA7;F8W651;F8VXR1,3;3;3;3;3;3;2;2,3;3;3;3;3;3;2;2,3;3;3;3;3;3;2;2,Coatomer subunit zeta-1,COPZ1,sp|P61923|COPZ1_HUMAN Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VXB1|F8VXB1_HUMAN Coatomer subunit zeta (Fragment) OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1;tr|F8VUC5|F8VUC5_HUMAN Coatomer subunit zeta OS=Homo sapiens OX=9606,3,3,19.8,21.7943968272802,21.7838290694302,27.2194656020213,27.3009478046279
Q86YQ8;E7ENV7;Q8IYJ1;A0A0J9YWA1;A0A087WX62,Q86YQ8;E7ENV7,5;5;2;1;1,4;4;1;1;1,3;3;0;0;0,Copine-8,CPNE8,sp|Q86YQ8|CPNE8_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2;tr|E7ENV7|E7ENV7_HUMAN Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2,5,3,10.1,4.17608450057973,4.06670010289021,25.4325299217842,25.659244017134
P04080;A0A1W2PS52,P04080;A0A1W2PS52,3;2,3;2,3;2,Cystatin-B,CSTB,sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2;tr|A0A1W2PS52|A0A1W2PS52_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=1,3,3,49.0,27.3755895383239,23.8843967531993,24.402300643813,24.2456850004648
P49711;A0A2R8YFL0;A0A2R8Y595,P49711;A0A2R8YFL0;A0A2R8Y595,3;3;2,3;3;2,3;3;2,Transcriptional repressor CTCF,CTCF,sp|P49711|CTCF_HUMAN Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1;tr|A0A2R8YFL0|A0A2R8YFL0_HUMAN Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1;tr|A0A2R8Y595|A0A2R8Y595_HUMAN Transcriptional repressor C,3,3,8.5,4.17608450057973,4.06670010289021,24.1144991778352,24.1909163909505
O43310,O43310,3,3,3,CBP80/20-dependent translation initiation factor,CTIF,sp|O43310|CTIF_HUMAN CBP80/20-dependent translation initiation factor OS=Homo sapiens OX=9606 GN=CTIF PE=1 SV=1,3,3,7.4,4.17608450057973,4.06670010289021,24.4458802299775,25.0120556912612
Q8NCG7;E7ET49,Q8NCG7;E7ET49,3;3,3;3,3;3,Sn1-specific diacylglycerol lipase beta,DAGLB,sp|Q8NCG7|DGLB_HUMAN Diacylglycerol lipase-beta OS=Homo sapiens OX=9606 GN=DAGLB PE=1 SV=2;tr|E7ET49|E7ET49_HUMAN Sn1-specific diacylglycerol lipase beta OS=Homo sapiens OX=9606 GN=DAGLB PE=1 SV=1,3,3,5.5,23.5506293737827,22.6310948396597,4.45881916663448,4.39209895775669
P81605,P81605,3,3,3,Dermcidin;Survival-promoting peptide;DCD-1,DCD,sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,3,3,22.7,26.1168801251919,22.9559975946148,4.45881916663448,4.39209895775669
Q9ULE3;F8WAT8;C9IYZ8;C9JAA0;C9IY76;H7C5K8,Q9ULE3;F8WAT8,3;3;1;1;1;1,3;3;1;1;1;1,3;3;1;1;1;1,DENN domain-containing protein 2A,DENND2A,sp|Q9ULE3|DEN2A_HUMAN DENN domain-containing protein 2A OS=Homo sapiens OX=9606 GN=DENND2A PE=1 SV=4;tr|F8WAT8|F8WAT8_HUMAN DENN domain-containing protein 2A OS=Homo sapiens OX=9606 GN=DENND2A PE=1 SV=1,3,3,5.6,21.5538430006873,21.5986917419764,25.8777379602841,23.6161629200598
Q14562;F5H658,Q14562;F5H658,4;4,3;3,3;3,ATP-dependent RNA helicase DHX8,DHX8,sp|Q14562|DHX8_HUMAN ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1;tr|F5H658|F5H658_HUMAN ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1,4,3,6.1,4.17608450057973,4.06670010289021,24.9489115020399,23.8483318134465
Q9NVM6;S4R343;H0YLQ7;H0YK99,Q9NVM6,3;1;1;1,3;1;1;1,3;1;1;1,DnaJ homolog subfamily C member 17,DNAJC17,sp|Q9NVM6|DJC17_HUMAN DnaJ homolog subfamily C member 17 OS=Homo sapiens OX=9606 GN=DNAJC17 PE=1 SV=1,3,3,13.8,4.17608450057973,4.06670010289021,24.3979346625799,23.3751752207998
Q8WXX5,Q8WXX5,3,3,3,DnaJ homolog subfamily C member 9,DNAJC9,sp|Q8WXX5|DNJC9_HUMAN DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1,3,3,16.5,4.17608450057973,4.06670010289021,25.5114727802223,25.3392952033385
P55039;A8MZF9;J3QR71;J3QRI9;J3QKW7;J3QL90;J3KRL5;J3QKV7,P55039;A8MZF9;J3QR71;J3QRI9;J3QKW7,3;2;2;2;2;1;1;1,3;2;2;2;2;1;1;1,3;2;2;2;2;1;1;1,Developmentally-regulated GTP-binding protein 2,DRG2,sp|P55039|DRG2_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|A8MZF9|A8MZF9_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|J3QR71|J3QR71_HUMAN Developme,3,3,11.3,4.17608450057973,4.06670010289021,23.6468030245642,23.8900400855633
P49770;H0YK01;H0YJJ8;G3V5E5,P49770,3;1;1;1,3;1;1;1,3;1;1;1,Translation initiation factor eIF-2B subunit beta,EIF2B2,sp|P49770|EI2BB_HUMAN Translation initiation factor eIF-2B subunit beta OS=Homo sapiens OX=9606 GN=EIF2B2 PE=1 SV=3,3,3,12.3,4.17608450057973,4.06670010289021,24.4725257496902,23.7827679079175
Q9NR50;A0A0D9SEN0;H0Y580,Q9NR50,3;1;1,3;1;1,3;1;1,Translation initiation factor eIF-2B subunit gamma,EIF2B3,sp|Q9NR50|EI2BG_HUMAN Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1,3,3,7.7,24.254578279937,22.4090523704562,4.45881916663448,4.39209895775669
Q13144;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ISX3;C9JRD9;A0A3B3IT53;A0A3B3IS56;A0A3B3ISV1;A0A3B3IRP4;A0A3B3ITQ2;A0A3B3ITG6,Q13144;A0A3B3IUB1;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ISX3,3;3;2;2;2;1;1;1;1;1;1;1,3;3;2;2;2;1;1;1;1;1;1;1,3;3;2;2;2;1;1;1;1;1;1;1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,sp|Q13144|EI2BE_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3;tr|A0A3B3IUB1|A0A3B3IUB1_HUMAN Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1;tr|A0A3B3,3,3,5.5,24.3222362548838,22.4148877726819,4.45881916663448,4.39209895775669
O43768;A6NMQ3;Q5T5H1;A0A1W2PRU0;P56211;H3BQ52;H3BTD3;H3BMD8,O43768;A6NMQ3;Q5T5H1;A0A1W2PRU0,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,Alpha-endosulfine,ENSA,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A6NMQ3|A6NMQ3_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=2;tr|Q5T5H1|Q5T5H1_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A0A1W2,3,3,36.4,4.17608450057973,4.06670010289021,26.063610676774,25.8774571437302
O75616;J3QSB2;J3QRV9;K7EQJ8;J3QT61,O75616;J3QSB2;J3QRV9,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,"GTPase Era, mitochondrial",ERAL1,"sp|O75616|ERAL1_HUMAN GTPase Era, mitochondrial OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=2;tr|J3QSB2|J3QSB2_HUMAN GTPase Era, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ERAL1 PE=1 SV=1;tr|J3QRV9|J3QRV9_HUMAN GTPase Era, mitochondrial (Fragment) OS",3,3,8.2,24.8145050183496,23.435904581079,4.45881916663448,4.39209895775669
Q96HE7;G3V2H0;G3V3E6,Q96HE7,3;1;1,3;1;1,3;1;1,ERO1-like protein alpha,ERO1L,sp|Q96HE7|ERO1A_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2,3,3,10.9,24.7642560857637,23.3629240908977,24.6601562105093,23.9644628529077
Q99504;B1APR7,Q99504;B1APR7,3;2,3;2,3;2,Eyes absent homolog 3;Eyes absent homolog,EYA3,sp|Q99504|EYA3_HUMAN Eyes absent homolog 3 OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=3;tr|B1APR7|B1APR7_HUMAN Eyes absent homolog OS=Homo sapiens OX=9606 GN=EYA3 PE=1 SV=1,3,3,6.8,4.17608450057973,4.06670010289021,24.7632431705772,25.0466434406819
Q6P995,Q6P995,3,3,3,Protein FAM171B,FAM171B,sp|Q6P995|F171B_HUMAN Protein FAM171B OS=Homo sapiens OX=9606 GN=FAM171B PE=2 SV=3,3,3,6.2,4.17608450057973,4.06670010289021,25.7324425910744,23.7827679079175
Q9NTI7;E9PR53;E9PND8,Q9NTI7;E9PR53;E9PND8,3;3;3,3;3;3,3;3;3,Protein FAM212B,FAM212B,sp|Q9NTI7|INKA2_HUMAN PAK4-inhibitor INKA2 OS=Homo sapiens OX=9606 GN=INKA2 PE=1 SV=1;tr|E9PR53|E9PR53_HUMAN PAK4-inhibitor INKA2 OS=Homo sapiens OX=9606 GN=INKA2 PE=4 SV=1;tr|E9PND8|E9PND8_HUMAN PAK4-inhibitor INKA2 (Fragment) OS=Homo sapiens OX=9606 GN=I,3,3,4.7,4.17608450057973,4.06670010289021,24.4988706268297,25.6258080409886
Q9Y285;K7EK06;K7ER16;K7ER00,Q9Y285;K7EK06;K7ER16,3;3;3;1,3;3;3;1,3;3;3;1,Phenylalanine--tRNA ligase alpha subunit,FARSA,sp|Q9Y285|SYFA_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=3;tr|K7EK06|K7EK06_HUMAN Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Homo sapiens OX=9606 GN=FARSA PE=1 SV=8;tr|K7ER16|K7ER16_HUMAN Phenylalan,3,3,5.3,24.1650732093349,22.3285901311468,22.5995060973031,23.4693616033648
Q6V0I7,Q6V0I7,3,3,3,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,3,3,1.2,4.17608450057973,4.06670010289021,29.7632083389711,24.6211472948335
P21333;F8WE98;H0Y5F3;H7C2E7;A0A669KBC6,P21333,151;33;11;3;2,151;33;11;3;2,3;2;0;0;0,Filamin-A,FLNA,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,151,3,72.2,35.3478713059473,32.2130060259426,38.234394885656,37.9856640898749
Q96CP2;I3L1Y9;I3L4I0,Q96CP2;I3L1Y9;I3L4I0,3;3;2,3;3;2,3;3;2,FLYWCH family member 2,FLYWCH2,sp|Q96CP2|FWCH2_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L1Y9|I3L1Y9_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L4I0|I3L4I0_HUMAN FLYWCH family member 2 (Fragment) OS=Homo sapiens OX,3,3,30.0,20.2009608482646,20.3404418427287,22.0711690339097,23.9035259047392
Q5T0N5;A0A075B6Q2;S4R347,Q5T0N5;A0A075B6Q2;S4R347,3;3;3,3;3;3,3;3;3,Formin-binding protein 1-like,FNBP1L,sp|Q5T0N5|FBP1L_HUMAN Formin-binding protein 1-like OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=3;tr|A0A075B6Q2|A0A075B6Q2_HUMAN Formin-binding protein 1-like (Fragment) OS=Homo sapiens OX=9606 GN=FNBP1L PE=1 SV=1;tr|S4R347|S4R347_HUMAN Formin-binding protei,3,3,8.4,4.17608450057973,4.06670010289021,25.10976530873,24.4257921489686
P35637;H3BPE7,P35637;H3BPE7,5;5,5;5,3;3,RNA-binding protein FUS,FUS,sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;tr|H3BPE7|H3BPE7_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,5,3,11.6,4.17608450057973,4.06670010289021,27.5319275368689,27.2280259766954
P41250,P41250,3,3,3,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,3,3,7.3,4.17608450057973,4.06670010289021,24.7630911719424,23.2759710107864
Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9;V9GYX5,Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9,4;2;2;2;2;2;2;2;1,3;2;2;2;2;2;2;2;1,3;2;2;2;2;2;2;2;1,Transcriptional repressor p66-alpha,GATAD2A,sp|Q86YP4|P66A_HUMAN Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1;tr|C9JVY3|C9JVY3_HUMAN Transcriptional repressor p66-alpha (Fragment) OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1;tr|V9GY85|V9GY85_HUMAN Transcriptional,4,3,8.8,4.17608450057973,4.06670010289021,23.8846475219367,24.422010340409
H8Y6P7;P0CAP2;Q9BZD3;P0CAP1,H8Y6P7;P0CAP2;Q9BZD3,3;2;2;1,3;2;2;1,3;2;2;1,DNA-directed RNA polymerase II subunit GRINL1A;Putative GRINL1B complex locus protein 2,GCOM1;POLR2M;GCOM2,tr|H8Y6P7|H8Y6P7_HUMAN GRINL1A combined protein 15 OS=Homo sapiens OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP2|GRL1A_HUMAN DNA-directed RNA polymerase II subunit GRINL1A OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1;sp|Q9BZD3|GCOM2_HUMAN Putative GRINL1B complex lo,3,3,5.8,4.17608450057973,4.06670010289021,23.4754355958402,23.6937047392253
Q9UJY5;B0QYR6;Q9UJY4;B0QYR9;B0QYS0;B0QYS1;A0A087WYN2;B0QYS2;B0QYS3;B0QYR5;B0QYS5;H3BPI3;H3BMM6,Q9UJY5;B0QYR6,4;2;1;1;1;1;1;1;1;1;1;1;1,3;1;0;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0;0;0;0;0;0,ADP-ribosylation factor-binding protein GGA1,GGA1,sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1;tr|B0QYR6|B0QYR6_HUMAN ADP-ribosylation factor-binding protein GGA1 (Fragment) OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,4,3,7.7,4.17608450057973,4.06670010289021,23.3421810357449,24.3674638106445
Q14691,Q14691,3,3,3,DNA replication complex GINS protein PSF1,GINS1,sp|Q14691|PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens OX=9606 GN=GINS1 PE=1 SV=1,3,3,15.3,4.17608450057973,4.06670010289021,24.2689942336069,22.6424466195201
O14908;K7EM11;Q8TF64;A0A2R8Y651,O14908;K7EM11,3;2;1;1,3;2;1;1,3;2;1;1,PDZ domain-containing protein GIPC1,GIPC1,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;tr|K7EM11|K7EM11_HUMAN PDZ domain-containing protein GIPC1 (Fragment) OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=1,3,3,11.7,4.17608450057973,4.06670010289021,24.4433528434583,25.8113233393612
Q92990;M0QX84;M0QXG8,Q92990,3;1;1,3;1;1,3;1;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,3,3,5.4,24.672927686643,23.3867548707057,24.1801793028267,23.7201498843343
O94925;H7BZD1,O94925,3;1,3;1,3;1,"Glutaminase kidney isoform, mitochondrial",GLS,"sp|O94925|GLSK_HUMAN Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",3,3,4.3,25.1198112255886,22.7360808581225,4.45881916663448,4.39209895775669
Q49A26;K7EMM8;K7EQB2,Q49A26;K7EMM8,3;3;1,3;3;1,3;3;1,Putative oxidoreductase GLYR1,GLYR1,sp|Q49A26|GLYR1_HUMAN Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;tr|K7EMM8|K7EMM8_HUMAN Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=2,3,3,8.9,4.17608450057973,4.06670010289021,24.5558449636229,24.1608488483829
P46926;D6RAY7;D6R9P4;D6RFF8;Q8TDQ7;D6RFK5;V9GYW0;V9GYK3;D6R917;D6RB13,P46926;D6RAY7;D6R9P4;D6RFF8,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,3,3,18.3,4.17608450057973,4.06670010289021,24.8387957545083,24.2570269442324
Q9H8Y8,Q9H8Y8,3,3,3,Golgi reassembly-stacking protein 2,GORASP2,sp|Q9H8Y8|GORS2_HUMAN Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,3,3,13.7,4.17608450057973,4.06670010289021,27.4870013042223,27.5344529780426
Q8N954,Q8N954,3,3,3,G patch domain-containing protein 11,GPATCH11,sp|Q8N954|GPT11_HUMAN G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,3,3,10.5,4.17608450057973,4.06670010289021,25.2955455919835,24.934271089704
Q9NZH0;H3BQV9;H3BN33;H3BT47;H3BSJ1;H3BT93,Q9NZH0;H3BQV9;H3BN33,3;2;2;1;1;1,3;2;2;1;1;1,3;2;2;1;1;1,G-protein coupled receptor family C group 5 member B,GPRC5B,sp|Q9NZH0|GPC5B_HUMAN G-protein coupled receptor family C group 5 member B OS=Homo sapiens OX=9606 GN=GPRC5B PE=2 SV=2;tr|H3BQV9|H3BQV9_HUMAN G-protein-coupled receptor family C group 5 member B (Fragment) OS=Homo sapiens OX=9606 GN=GPRC5B PE=4 SV=1;tr|H3B,3,3,14.6,4.17608450057973,4.06670010289021,26.6505947483673,26.1988609014258
P57764;E9PIB2;G3V1A6;E9PQ48;E9PNZ0;E9PQR9,P57764;E9PIB2;G3V1A6,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Gasdermin-D,GSDMD,"sp|P57764|GSDMD_HUMAN Gasdermin-D OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|E9PIB2|E9PIB2_HUMAN Gasdermin-D (Fragment) OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|G3V1A6|G3V1A6_HUMAN Gasdermin domain containing 1, isoform CRA_d OS=Homo sapiens OX=960",3,3,9.1,25.3186898135755,22.376619153239,24.1755422412435,23.818021168047
Q14687;H0Y613;H7C3B5,Q14687;H0Y613,3;3;1,3;3;1,3;3;1,Genetic suppressor element 1,GSE1,sp|Q14687|GSE1_HUMAN Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3;tr|H0Y613|H0Y613_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,3,3,3.7,4.17608450057973,4.06670010289021,25.116364586613,25.1266798991128
Q9UBN7;A0A2R8YDE6;A0A2R8Y5Z4;A0A2R8YD35;C9J172;Q9BRX7;A0A2R8YCS4;E7EP63;E7ER52;A6NDI8,Q9UBN7;A0A2R8YDE6,3;3;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1,Histone deacetylase 6,HDAC6,sp|Q9UBN7|HDAC6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=2;tr|A0A2R8YDE6|A0A2R8YDE6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=1,3,3,3.9,4.17608450057973,4.06670010289021,28.0971288336012,27.0278093351284
Q6AI08;K7EIX2;K7ELR8;A0A087WXZ7;K7EKW7;K7ESP5,Q6AI08;K7EIX2;K7ELR8;A0A087WXZ7,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,HEAT repeat-containing protein 6,HEATR6,sp|Q6AI08|HEAT6_HUMAN HEAT repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=HEATR6 PE=1 SV=1;tr|K7EIX2|K7EIX2_HUMAN HEAT repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=HEATR6 PE=1 SV=1;tr|K7ELR8|K7ELR8_HUMAN HEAT repeat-containing protein 6 O,3,3,4.9,21.8845730006401,21.8505826008867,26.3725276821934,26.0984045016067
Q9NRV9;A0A3B3IRV5;F5GWX2;H0YG71,Q9NRV9;A0A3B3IRV5;F5GWX2,3;3;2;1,3;3;2;1,3;3;2;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|F5GWX2|F5GWX2_HUMAN Heme-binding protein 1 OS=Homo sapien,3,3,26.5,4.17608450057973,4.06670010289021,25.7306040535249,25.1092073603647
P06865;H3BS10;H3BP20;H3BU85;H3BTD4,P06865;H3BS10;H3BP20;H3BU85;H3BTD4,3;3;3;2;2,3;3;3;2;2,3;3;3;2;2,Beta-hexosaminidase subunit alpha;Beta-hexosaminidase,HEXA,sp|P06865|HEXA_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2;tr|H3BS10|H3BS10_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=1;tr|H3BP20|H3BP20_HUMAN Beta-hexosaminidase OS=Homo sapiens OX=9606 GN=HEXA,3,3,5.1,23.9077488776482,22.3266303795073,4.45881916663448,4.39209895775669
O94992,O94992,3,3,3,Protein HEXIM1,HEXIM1,sp|O94992|HEXI1_HUMAN Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1,3,3,14.2,4.17608450057973,4.06670010289021,23.9575718285882,23.8949502098835
P0C0S8;A0A0U1RR32;Q9BTM1;Q16777;Q99878;Q93077;Q7L7L0;P04908;Q6FI13;Q96KK5;A0A0U1RRH7;P20671;P16104;A0A494C189;A0A3B3IS11;C9J0D1;P0C0S5;H0YFX9;Q96QV6;Q71UI9;Q8IUE6;C9J386,P0C0S8;A0A0U1RR32;Q9BTM1;Q16777;Q99878;Q93077;Q7L7L0;P04908;Q6FI13;Q96KK5;A0A0U1RRH7;P20671;P16104;A0A494C189;A0A3B3IS11;C9J0D1;P0C0S5;H0YFX9;Q96QV6;Q71UI9,3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1,Histone H2A type 1;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-J;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E;Histone H2A type 2-A;Histone H2A type 1-H;Histone H2A type 1-D;Histone H2AX;Histone H2A;Histone H2A.Z;Histone H2A type 1-A;Histone H2A.V,HIST1H2AG;H2AFJ;HIST2H2AC;HIST1H2AJ;HIST1H2AC;HIST3H2A;HIST1H2AB;HIST2H2AA3;HIST1H2AH;HIST1H2AD;H2AFX;H2AFV;H2AFZ;HIST1H2AA,sp|P0C0S8|H2A1_HUMAN Histone H2A type 1 OS=Homo sapiens OX=9606 GN=H2AC11 PE=1 SV=2;tr|A0A0U1RR32|A0A0U1RR32_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=hCG_2039566 PE=3 SV=1;sp|Q9BTM1|H2AJ_HUMAN Histone H2A.J OS=Homo sapiens OX=9606 GN=H2AJ PE=1 SV=1;sp|,3,3,26.9,24.3181036395089,22.0434679092092,26.4140135382414,26.1251037859491
