Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
P22676;H3BMN5;H3BN14;P05937;A6NER6,P22676;H3BMN5;H3BN14,3;2;2;1;1,3;2;2;1;1,3;2;2;1;1,Calretinin,CALB2,sp|P22676|CALB2_HUMAN Calretinin OS=Homo sapiens OX=9606 GN=CALB2 PE=2 SV=2;tr|H3BMN5|H3BMN5_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2;tr|H3BN14|H3BN14_HUMAN Calretinin (Fragment) OS=Homo sapiens OX=9606 GN=CALB2 PE=1 SV=2,3.0,3.0,12.2,4.3500727725963,4.5358450090929,25.5881793441473,25.4062966265519
E7EX44;E9PGZ1;Q05682;C9J813;C9JEK3;REV__H0YH95;REV__H0YEF9;REV__E9PJZ7;REV__H0YHK3;REV__Q13136;REV__A0A2R8Y7R9;REV__G3V200;REV__O75334,E7EX44;E9PGZ1;Q05682;C9J813,20;18;17;12;3;1;1;1;1;1;1;1;1,20;18;17;12;3;1;1;1;1;1;1;1;1,20;18;17;12;3;1;1;1;1;1;1;1;1,Caldesmon,CALD1,tr|E7EX44|E7EX44_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|E9PGZ1|E9PGZ1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;sp|Q05682|CALD1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3;tr|C9J813|C9J813_HUMAN Caldes,20.0,20.0,38.4,28.0452586515798,28.0709152696138,31.1629097695888,30.970556126143
P0DP25;P0DP24;P0DP23;M0QZ52;A0A590UK56;E7EMB3;F8WBR5;G3V479;Q96HY3;G3V361;A0A590UJI2,P0DP25;P0DP24;P0DP23;M0QZ52;A0A590UK56;E7EMB3;F8WBR5;G3V479;Q96HY3,4;4;4;3;3;3;2;2;2;1;1,4;4;4;3;3;3;2;2;2;1;1,4;4;4;3;3;3;2;2;2;1;1,,CALM3;CALM2;CALM1,sp|P0DP25|CALM3_HUMAN Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1;sp|P0DP24|CALM2_HUMAN Calmodulin-2 OS=Homo sapiens OX=9606 GN=CALM2 PE=1 SV=1;sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1;tr|M0QZ52|M0QZ52_HUMAN,4.0,4.0,45.6,26.2498130933058,26.3717567071925,27.5314070438708,27.1473442223445
P27482,P27482,3,3,3,Calmodulin-like protein 3,CALML3,sp|P27482|CALL3_HUMAN Calmodulin-like protein 3 OS=Homo sapiens OX=9606 GN=CALML3 PE=1 SV=2,3.0,3.0,26.8,26.0650087965787,26.4771512431729,4.38176407895191,4.39969772430431
Q9NZT1,Q9NZT1,2,2,2,Calmodulin-like protein 5,CALML5,sp|Q9NZT1|CALL5_HUMAN Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2,2.0,2.0,25.3,26.6103447434481,26.8713855446478,4.38176407895191,4.39969772430431
A0A2Q3DQE3;Q5SWX3;Q13555;Q8WU40;Q13554;H0Y6G2;A0A5F9ZH21;A0A5F9ZH50;D6RFJ0;E9PF82;E9PBG7;D6R938;A0A5F9ZHR5;E9PBE8;E7EQE4;A0A5K1VW76;A0A5F9ZHY2;H7BXS4;A0A5F9ZH90;H7C394;Q9UQM7;Q13557;A0A5F9ZHM9,A0A2Q3DQE3;Q5SWX3;Q13555;Q8WU40;Q13554;H0Y6G2,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2G;CAMK2B,"tr|A0A2Q3DQE3|A0A2Q3DQE3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_d OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=1;tr|Q5SWX3|Q5SWX3_HUMAN Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CR",4.0,4.0,9.9,25.0738594627771,26.1791733385688,24.916021208057,23.8738953948087
Q16566;D6REY7;D6RE65;D6RCD6,Q16566,5;2;2;1,5;2;2;1,5;2;2;1,Calcium/calmodulin-dependent protein kinase type IV,CAMK4,sp|Q16566|KCC4_HUMAN Calcium/calmodulin-dependent protein kinase type IV OS=Homo sapiens OX=9606 GN=CAMK4 PE=1 SV=1,5.0,5.0,15.0,22.7088515050798,24.5640112938303,26.6308980949973,26.1453629783385
Q5T5Y3,Q5T5Y3,39,39,39,Calmodulin-regulated spectrin-associated protein 1,CAMSAP1,sp|Q5T5Y3|CAMP1_HUMAN Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens OX=9606 GN=CAMSAP1 PE=1 SV=2,39.0,39.0,38.1,4.3500727725963,4.5358450090929,29.9637520828976,29.6984949510748
Q08AD1;H0Y4Z1,Q08AD1,14;2,14;2,14;2,Calmodulin-regulated spectrin-associated protein 2,CAMSAP2,sp|Q08AD1|CAMP2_HUMAN Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3,14.0,14.0,14.4,4.3500727725963,4.5358450090929,28.0820267012899,27.756845399379
Q01518;Q5T0R1;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R9;Q5T0S3;P40123;Q5T0R8;B7Z385;A0A087X0J3;A0A087WZ15;E9PDI2,Q01518,13;6;5;5;5;5;5;5;5;2;1;1;1;1;1;1,13;6;5;5;5;5;5;5;5;2;1;1;1;1;1;1,13;6;5;5;5;5;5;5;5;2;1;1;1;1;1;1,Adenylyl cyclase-associated protein 1,CAP1,sp|Q01518|CAP1_HUMAN Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5,13.0,13.0,36.6,4.3500727725963,4.5358450090929,29.3199303377275,29.0074755167443
P52907;C9JUG7;F8W9N7;A0A0D9SET8,P52907,7;1;1;1,7;1;1;1,6;0;0;0,F-actin-capping protein subunit alpha-1,CAPZA1,sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,7.0,6.0,42.7,27.8376774933971,27.3235424523845,27.0245370786483,25.4719058755547
P47756;B1AK87;B1AK85;B1AK88,P47756;B1AK87;B1AK85;B1AK88,10;9;9;9,10;9;9;9,10;9;9;9,F-actin-capping protein subunit beta,CAPZB,sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4;tr|B1AK87|B1AK87_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1;tr|B1AK85|B1AK85_HUMAN F-actin-capping protein subu,10.0,10.0,45.8,23.2356560858547,23.5977422175648,28.505291486853,28.4429654462031
P49589;B4DKY1,P49589;B4DKY1,3;3,3;3,3;3,"Cysteine--tRNA ligase, cytoplasmic",CARS,"sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3;tr|B4DKY1|B4DKY1_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=1",3.0,3.0,4.0,4.3500727725963,4.5358450090929,24.9064190567831,24.6901382558025
Q8NG31;H0YCZ2;H0YEY7,Q8NG31;H0YCZ2,54;32;4,54;32;4,14;14;4,Protein CASC5,CASC5,sp|Q8NG31|KNL1_HUMAN Kinetochore scaffold 1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=3;tr|H0YCZ2|H0YCZ2_HUMAN Kinetochore scaffold 1 (Fragment) OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=1,54.0,14.0,34.1,30.5784872333331,31.223717620627,26.4333261550628,26.0229087425674
P49662;E9PMT1;P51878;Q6UXS9;H7C0P5;A0A384DVP2,P49662,9;3;2;1;1;1,9;3;2;1;1;1,9;3;2;1;1;1,Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2,CASP4,sp|P49662|CASP4_HUMAN Caspase-4 OS=Homo sapiens OX=9606 GN=CASP4 PE=1 SV=1,9.0,9.0,31.8,27.4842376668384,27.5822082786575,27.0749007587144,27.1151543301662
Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,Q14790;E7ETB7;E7EQ06;A0A0A0MS31;E7EQ01;E7EVN1;C9JB29,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,CASP8,sp|Q14790|CASP8_HUMAN Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7ETB7|E7ETB7_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|E7EQ06|E7EQ06_HUMAN Caspase-8 (Fragment) OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1;tr|A0A0,2.0,2.0,4.0,4.3500727725963,4.5358450090929,23.7611137310158,24.0363245562864
Q9UKL3;A0A087WTW5,Q9UKL3;A0A087WTW5,7;7,7;7,7;7,CASP8-associated protein 2,CASP8AP2,sp|Q9UKL3|C8AP2_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1;tr|A0A087WTW5|A0A087WTW5_HUMAN CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1,7.0,7.0,6.4,26.7616717452442,26.8240810291033,4.38176407895191,4.39969772430431
P20810;A0A0C4DGB5;B7Z574;E9PCH5;E7ES10;E7EVY3;H0Y7F0;E9PDE4;H0Y9H6;E7EQA0;E7EQ12;A0A0A0MR45;H0YD33;F8W7E0;E9PSG1;H0Y944;A0A0C4DGD1;D6RC54;E7EQK6;H0YA91,P20810;A0A0C4DGB5;B7Z574;E9PCH5;E7ES10;E7EVY3;H0Y7F0;E9PDE4;H0Y9H6;E7EQA0;E7EQ12;A0A0A0MR45;H0YD33,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,11;11;11;11;11;10;9;9;8;8;8;7;7;3;2;2;2;2;1;1,Calpastatin,CAST,sp|P20810|ICAL_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4;tr|A0A0C4DGB5|A0A0C4DGB5_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1;tr|B7Z574|B7Z574_HUMAN Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=1;tr|E9PCH5|E9PCH5_HU,11.0,11.0,26.7,24.704562674846,24.9576343718041,28.7341172452827,28.6123500260253
P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8;Q13191;A0A2R8YDW4;C9JU85;A0A2R8Y7I2;A0A2R8Y8D8;A0A2R8Y5E1;A0A2R8YFD4;H0Y3L9,P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8,16;15;15;15;1;1;1;1;1;1;1;1,16;15;15;15;1;1;1;1;1;1;1;1,16;15;15;15;1;1;1;1;1;1;1;1,E3 ubiquitin-protein ligase CBL,CBL,sp|P22681|CBL_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=2;tr|A0A0U1RR39|A0A0U1RR39_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=1;tr|A0A1B0GW38|A0A1B0GW38_HUMAN E3 ubiquitin-protein ligase,16.0,16.0,22.0,4.3500727725963,4.5358450090929,28.0285472056947,27.7406614069601
Q75N03;C9J2P9;F8WEM5;C9K074,Q75N03;C9J2P9,4;3;1;1,4;3;1;1,4;3;1;1,E3 ubiquitin-protein ligase Hakai,CBLL1,sp|Q75N03|HAKAI_HUMAN E3 ubiquitin-protein ligase Hakai OS=Homo sapiens OX=9606 GN=CBLL1 PE=1 SV=1;tr|C9J2P9|C9J2P9_HUMAN E3 ubiquitin-protein ligase Hakai (Fragment) OS=Homo sapiens OX=9606 GN=CBLL1 PE=1 SV=8,4.0,4.0,14.3,26.4404725483248,27.1189206425247,4.38176407895191,4.39969772430431
Q14781,Q14781,5,5,5,Chromobox protein homolog 2,CBX2,sp|Q14781|CBX2_HUMAN Chromobox protein homolog 2 OS=Homo sapiens OX=9606 GN=CBX2 PE=1 SV=2,5.0,5.0,14.5,25.840717618503,26.4226520230424,4.38176407895191,4.39969772430431
Q13185;B8ZZ43;C9JMM0;S4R2Y4;P83916;K7ELA4;B5MD17;J3KS05,Q13185,5;2;2;2;1;1;1;1,5;2;2;2;1;1;1;1,5;2;2;2;1;1;1;1,Chromobox protein homolog 3,CBX3,sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,5.0,5.0,36.1,27.4646646478857,27.0668161191337,24.9146989939742,25.2625929734968
Q9HC52;C9J6K3;C9JM54,Q9HC52,5;2;1,5;2;1,5;2;1,Chromobox protein homolog 8,CBX8,sp|Q9HC52|CBX8_HUMAN Chromobox protein homolog 8 OS=Homo sapiens OX=9606 GN=CBX8 PE=1 SV=3,5.0,5.0,21.1,26.7946397548943,27.3055647114554,4.38176407895191,4.39969772430431
Q6P1N0;K7EJY5,Q6P1N0;K7EJY5,3;2,3;2,3;2,Coiled-coil and C2 domain-containing protein 1A,CC2D1A,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1;tr|K7EJY5|K7EJY5_HUMAN Coiled-coil and C2 domain-containing protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1,3.0,3.0,2.9,4.3500727725963,4.5358450090929,22.8055588953546,23.9812864536842
Q8IX12;A0A0C4DGG8;F5H2E6;F5H1H2;F5H3E1;H0YFJ7;F5H7M9,Q8IX12;A0A0C4DGG8;F5H2E6;F5H1H2,25;20;16;14;11;4;1,25;20;16;14;11;4;1,25;20;16;14;11;4;1,Cell division cycle and apoptosis regulator protein 1,CCAR1,sp|Q8IX12|CCAR1_HUMAN Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;tr|A0A0C4DGG8|A0A0C4DGG8_HUMAN Cell division cycle and apoptosis regulator protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=,25.0,25.0,26.3,29.8377376370152,30.0999899801761,24.1833633919656,25.8747632095415
Q8N163;H0YB24;E5RHJ4;H0YC69;E5RFJ3;E5RGU7;H0YC58;E5RHH8,Q8N163;H0YB24,29;19;7;5;5;4;4;1,29;19;7;5;5;4;4;1,11;1;4;5;5;4;4;1,Cell cycle and apoptosis regulator protein 2,CCAR2,sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2;tr|H0YB24|H0YB24_HUMAN Cell cycle and apoptosis regulator protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=1,29.0,11.0,49.6,31.4450494453032,31.1507976042487,28.4302183570926,28.1503013107101
Q8WUD4;J3KR35;S4R331;C9JUN5,Q8WUD4;J3KR35;S4R331;C9JUN5,4;4;2;2,4;4;2;2,4;4;2;2,Coiled-coil domain-containing protein 12,CCDC12,"sp|Q8WUD4|CCD12_HUMAN Coiled-coil domain-containing protein 12 OS=Homo sapiens OX=9606 GN=CCDC12 PE=1 SV=1;tr|J3KR35|J3KR35_HUMAN Coiled-coil domain containing 12, isoform CRA_a OS=Homo sapiens OX=9606 GN=CCDC12 PE=1 SV=1;tr|S4R331|S4R331_HUMAN Coiled-coil",4.0,4.0,44.0,28.2308223868271,27.7786259154155,4.38176407895191,4.39969772430431
Q96CT7,Q96CT7,2,2,2,Coiled-coil domain-containing protein 124,CCDC124,sp|Q96CT7|CC124_HUMAN Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,2.0,2.0,10.3,4.3500727725963,4.5358450090929,25.5615662447535,24.3987828270151
Q96JG6;H0Y7Q2,Q96JG6,4;1,4;1,4;1,Coiled-coil domain-containing protein 132,CCDC132,sp|Q96JG6|VPS50_HUMAN Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3,4.0,4.0,3.3,4.3500727725963,4.5358450090929,25.238013103317,28.2610510003498
Q8NDH2,Q8NDH2,2,2,2,Coiled-coil domain-containing protein 168,CCDC168,sp|Q8NDH2|CC168_HUMAN Coiled-coil domain-containing protein 168 OS=Homo sapiens OX=9606 GN=CCDC168 PE=2 SV=2,2.0,2.0,1.4,32.399377875504,32.5661630911545,24.2380495594061,23.7435251718173
Q6PII3;A0A0B4J1R8;A0A087WYA9,Q6PII3;A0A0B4J1R8;A0A087WYA9,21;18;17,21;18;17,21;18;17,Coiled-coil domain-containing protein 174,CCDC174,sp|Q6PII3|CC174_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=3;tr|A0A0B4J1R8|A0A0B4J1R8_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=1;tr|A0A087WYA9|A0A087WYA9_HUMA,21.0,21.0,52.2,29.454601178741,29.4175387200393,28.1250939298254,27.9939385685488
O60826,O60826,3,3,3,Coiled-coil domain-containing protein 22,CCDC22,sp|O60826|CCD22_HUMAN Coiled-coil domain-containing protein 22 OS=Homo sapiens OX=9606 GN=CCDC22 PE=1 SV=1,3.0,3.0,5.1,24.0687441705722,25.4480880669853,22.1382743004041,23.2955071962368
Q86WR0;G3V121;B7Z2L8;Q0VGD4,Q86WR0,10;4;4;1,10;4;4;1,10;4;4;1,Coiled-coil domain-containing protein 25,CCDC25,sp|Q86WR0|CCD25_HUMAN Coiled-coil domain-containing protein 25 OS=Homo sapiens OX=9606 GN=CCDC25 PE=1 SV=2,10.0,10.0,39.9,26.752130497288,26.8487616062491,28.2050378355014,27.6922552554256
Q96MW1;Q86WV7;K7ER24,Q96MW1;Q86WV7,6;6;2,6;6;2,6;6;2,Coiled-coil domain-containing protein 43,CCDC43,sp|Q96MW1|CCD43_HUMAN Coiled-coil domain-containing protein 43 OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=2;tr|Q86WV7|Q86WV7_HUMAN CCDC43 protein OS=Homo sapiens OX=9606 GN=CCDC43 PE=1 SV=1,6.0,6.0,32.6,4.3500727725963,4.5358450090929,28.7332445985778,27.4328484678312
Q96A33;A0A087WYW6;J3QR89,Q96A33;A0A087WYW6;J3QR89,2;2;1,2;2;1,2;2;1,Coiled-coil domain-containing protein 47,CCDC47,sp|Q96A33|CCD47_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|A0A087WYW6|A0A087WYW6_HUMAN Coiled-coil domain-containing protein 47 OS=Homo sapiens OX=9606 GN=CCDC47 PE=1 SV=1;tr|J3QR89|J3QR89_HUMAN Uncharacte,2.0,2.0,5.0,4.3500727725963,4.5358450090929,24.3118131598024,24.3126442452505
Q8IVM0,Q8IVM0,6,6,6,Coiled-coil domain-containing protein 50,CCDC50,sp|Q8IVM0|CCD50_HUMAN Coiled-coil domain-containing protein 50 OS=Homo sapiens OX=9606 GN=CCDC50 PE=1 SV=1,6.0,6.0,36.6,4.3500727725963,4.5358450090929,27.073164847708,27.1158488637436
Q16204,Q16204,4,4,4,Coiled-coil domain-containing protein 6,CCDC6,sp|Q16204|CCDC6_HUMAN Coiled-coil domain-containing protein 6 OS=Homo sapiens OX=9606 GN=CCDC6 PE=1 SV=2,4.0,4.0,9.3,4.3500727725963,4.5358450090929,25.308865875752,24.9244276187949
A6NKD9;G3V4C8;H0YJY5;H0YJE0,A6NKD9,5;1;1;1,5;1;1;1,5;1;1;1,Coiled-coil domain-containing protein 85C,CCDC85C,sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens OX=9606 GN=CCDC85C PE=1 SV=1,5.0,5.0,16.2,4.3500727725963,4.5358450090929,25.5295763917863,24.0624170911931
Q9BW85;M0R2S3,Q9BW85;M0R2S3,15;9,15;9,15;9,Coiled-coil domain-containing protein 94,CCDC94,sp|Q9BW85|YJU2_HUMAN Splicing factor YJU2 OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=1;tr|M0R2S3|M0R2S3_HUMAN Splicing factor YJU2 (Fragment) OS=Homo sapiens OX=9606 GN=YJU2 PE=1 SV=8,15.0,15.0,46.4,29.00686051732,28.7524495576075,25.1640758397543,25.1046960028048
P14635;E9PC90;H0YA62;D6RHI0,P14635;E9PC90,3;3;1;1,3;3;1;1,3;3;1;1,G2/mitotic-specific cyclin-B1,CCNB1,sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;tr|E9PC90|E9PC90_HUMAN G2/mitotic-specific cyclin-B1 (Fragment) OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1,3.0,3.0,8.8,4.3500727725963,4.5358450090929,23.8766143659587,24.9664005388461
O75909;G3V5E1;G3V2Q3;G3V235,O75909;G3V5E1;G3V2Q3,14;12;8;5,14;12;8;5,14;12;8;5,Cyclin-K,CCNK,sp|O75909|CCNK_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=2;tr|G3V5E1|G3V5E1_HUMAN Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1;tr|G3V2Q3|G3V2Q3_HUMAN Cyclin-K (Fragment) OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=1,14.0,14.0,33.4,30.138216676772,30.0466122194859,27.2119681804507,26.7421402040653
O60563;A0A1W2PQ16;C9JUL2;H7BZ27,O60563,20;5;1;1,20;5;1;1,18;4;0;0,Cyclin-T1,CCNT1,sp|O60563|CCNT1_HUMAN Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,20.0,18.0,41.3,31.2081001294497,31.4353446268832,28.7967760034004,28.9034282170398
O60583;F8WDY7;F2Z2C9,O60583;F8WDY7;F2Z2C9,6;3;3,4;2;2,4;2;2,Cyclin-T2,CCNT2,sp|O60583|CCNT2_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=2;tr|F8WDY7|F8WDY7_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=1;tr|F2Z2C9|F2Z2C9_HUMAN Cyclin-T2 OS=Homo sapiens OX=9606 GN=CCNT2 PE=1 SV=1,6.0,4.0,11.9,26.3257225413272,26.3129557789049,4.38176407895191,4.39969772430431
O14618;J3KNF4;E9PP76;E9PK03,O14618;J3KNF4;E9PP76;E9PK03,2;2;1;1,2;2;1;1,2;2;1;1,Copper chaperone for superoxide dismutase;Superoxide dismutase [Cu-Zn],CCS,sp|O14618|CCS_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|J3KNF4|J3KNF4_HUMAN Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1;tr|E9PP76|E9PP76_HUMAN Copper chaperone for sup,2.0,2.0,15.0,4.3500727725963,4.5358450090929,24.5936031234191,24.6954581299705
P78371;F5GWF6;F8VQ14,P78371;F5GWF6;F8VQ14,36;32;28,36;32;28,36;32;28,T-complex protein 1 subunit beta,CCT2,sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4;tr|F5GWF6|F5GWF6_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=2;tr|F8VQ14|F8VQ14_HUMAN T-complex protein 1 subunit beta OS=Hom,36.0,36.0,72.3,33.049016874254,32.5132163927178,26.1432816862151,25.535639892993
B4DUR8,B4DUR8,8,8,2,T-complex protein 1 subunit gamma,CCT3,tr|B4DUR8|B4DUR8_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,8.0,2.0,20.8,26.2002088122326,22.9197806108581,23.7442721458845,23.9861566085466
P48643;E7ENZ3;B7ZAR1;E9PCA1;D6RIZ7;H0Y914,P48643;E7ENZ3;B7ZAR1;E9PCA1,22;21;20;20;2;1,22;21;20;20;2;1,22;21;20;20;2;1,T-complex protein 1 subunit epsilon,CCT5,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|E7ENZ3|E7ENZ3_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1;tr|B7ZAR1|B7ZAR1_HUMAN T-complex protein 1 subunit epsil,22.0,22.0,58.8,30.3110552427684,30.3503699136036,22.6893172492644,24.3029183305457
P40227,P40227,22,22,19,T-complex protein 1 subunit zeta,CCT6A,sp|P40227|TCPZ_HUMAN T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,22.0,19.0,54.0,30.5069187218481,30.5227168699916,26.7648381901326,26.9910752735136
Q92526,Q92526,5,2,2,T-complex protein 1 subunit zeta-2,CCT6B,sp|Q92526|TCPW_HUMAN T-complex protein 1 subunit zeta-2 OS=Homo sapiens OX=9606 GN=CCT6B PE=1 SV=5,5.0,2.0,10.8,27.6003117584121,27.478806059099,24.0030738366715,24.2516263367263
P50990;H7C4C8;H7C2U0,P50990,63;29;11,63;29;11,63;29;11,T-complex protein 1 subunit theta,CCT8,sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,63.0,63.0,88.5,37.0257081258835,37.0857933429614,34.2009874990653,34.0791710075748
Q9Y5K6,Q9Y5K6,43,43,43,CD2-associated protein,CD2AP,sp|Q9Y5K6|CD2AP_HUMAN CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,43.0,43.0,66.4,29.7644111256346,29.6563381967628,32.8125486575994,32.94783713799
O95400,O95400,12,12,12,CD2 antigen cytoplasmic tail-binding protein 2,CD2BP2,sp|O95400|CD2B2_HUMAN CD2 antigen cytoplasmic tail-binding protein 2 OS=Homo sapiens OX=9606 GN=CD2BP2 PE=1 SV=1,12.0,12.0,48.1,30.3022559761314,29.6137028958842,4.38176407895191,4.39969772430431
