Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q13283;E5RIZ6;E5RJU8;E5RH42;E5RIF8;E5RI46;E5RH00;D6RBR0;D6REX8;Q9UN86;D6RBW8;D6RBM9;D6RGJ4;D6RAC7;D6R9A4;D6R9X5;D6RB17;D6RE13,Q13283,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,17;7;6;6;6;5;3;2;2;2;2;2;2;2;2;2;2;2,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,17,17,47.9,24.7630443531042,23.309663970512,30.0253822427269,30.0018237117492
A0A140T9V1;O95866;A0A0G2JJG8,A0A140T9V1;O95866;A0A0G2JJG8,2;1;1,2;1;1,2;1;1,Protein G6b,G6B,tr|A0A140T9V1|A0A140T9V1_HUMAN Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1;sp|O95866|G6B_HUMAN Megakaryocyte and platelet inhibitory receptor G6b OS=Homo sapiens OX=9606 GN=MPIG6B PE=1 SV=1;tr|A0A0G2JJG8|A,2,2,18.9,4.25717907948666,4.09415654932906,26.53330964942,27.6764024068237
P11413;E7EUI8;E7EM57;E9PD92,P11413;E7EUI8;E7EM57;E9PD92,17;12;11;10,17;12;11;10,17;12;11;10,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=8;tr|E7EM57|E7EM57_HUMAN Glucose-6-phosphate 1-,17,17,39.4,26.9561542076024,25.0587065597939,27.8851248326962,28.0239028805104
Q06546,Q06546,8,8,8,GA-binding protein alpha chain,GABPA,sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1,8,8,23.1,4.25717907948666,4.09415654932906,27.4542677867407,27.2034050621649
O14976;A0A087X1U9;H0Y8H5;D6RAW3,O14976;A0A087X1U9;H0Y8H5,4;2;2;1,4;2;2;1,4;2;2;1,Cyclin-G-associated kinase,GAK,sp|O14976|GAK_HUMAN Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2;tr|A0A087X1U9|A0A087X1U9_HUMAN Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=1;tr|H0Y8H5|H0Y8H5_HUMAN Cyclin-G-associated kinase (Fragment) OS=Homo,4,4,5.5,4.25717907948666,4.09415654932906,25.3356965079633,25.117157646601
Q14697;F5H6X6;E9PKU7,Q14697;F5H6X6;E9PKU7,2;1;1,2;1;1,2;1;1,Neutral alpha-glucosidase AB,GANAB,sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3;tr|F5H6X6|F5H6X6_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=1;tr|E9PKU7|E9PKU7_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens,2,2,4.0,25.1840069368181,24.9526457718373,4.51247618958678,4.42747165566269
P04406;E7EUT5;O14556,P04406;E7EUT5,11;10;1,11;10;1,11;10;1,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3;tr|E7EUT5|E7EUT5_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=1,11,11,43.3,28.9057536864012,29.681320699673,26.4719988736557,25.967962004374
Q14C86;F8W9S7;C9IZ08;B0QZ65;B4DGD8;H0Y7I9;H0Y4E7;A0A0A0MQV8;C9IZX9,Q14C86;F8W9S7;C9IZ08,21;20;11;9;9;8;7;6;2,21;20;11;9;9;8;7;6;2,21;20;11;9;9;8;7;6;2,GTPase-activating protein and VPS9 domain-containing protein 1,GAPVD1,sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV,21,21,17.8,4.25717907948666,4.09415654932906,29.0643767263913,28.5019555989933
P22102;C9JZG2;C9JKQ7;A0A140TA71;C9JBJ1;C9JTV6;F8WD69,P22102,15;2;2;2;2;2;2,15;2;2;2;2;2;2,15;2;2;2;2;2;2,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,GART,sp|P22102|PUR2_HUMAN Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,15,15,22.3,26.3454164819926,24.0226759730249,27.9827775102389,27.7263743005708
Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9;V9GYX5,Q86YP4;C9JVY3;V9GY85;H7C3H1;C9JMI3;C9JGN4;C9JHD7;C9JJK9,4;2;2;2;2;2;2;2;1,3;2;2;2;2;2;2;2;1,3;2;2;2;2;2;2;2;1,Transcriptional repressor p66-alpha,GATAD2A,sp|Q86YP4|P66A_HUMAN Transcriptional repressor p66-alpha OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1;tr|C9JVY3|C9JVY3_HUMAN Transcriptional repressor p66-alpha (Fragment) OS=Homo sapiens OX=9606 GN=GATAD2A PE=1 SV=1;tr|V9GY85|V9GY85_HUMAN Transcriptional,4,3,8.8,4.25717907948666,4.09415654932906,23.8846475219367,24.422010340409
Q8WXI9;A0A0U1RRM1;A0A0U1RR34;A0A0U1RRK3;A0A0U1RR30,Q8WXI9;A0A0U1RRM1;A0A0U1RR34,10;10;5;4;3,10;10;5;4;3,9;9;5;4;2,Transcriptional repressor p66-beta,GATAD2B,sp|Q8WXI9|P66B_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1;tr|A0A0U1RRM1|A0A0U1RRM1_HUMAN Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1;tr|A0A0U1RR34|A0A0U1RR34_HUMAN Transcription,10,9,22.9,4.25717907948666,4.09415654932906,27.5081662865223,26.8985065486026
Q92538;A0A669KBG8;A0A669KB10,Q92538;A0A669KBG8;A0A669KB10,7;7;7,7;7;7,7;7;7,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,sp|Q92538|GBF1_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2;tr|A0A669KBG8|A0A669KBG8_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapi,7,7,4.4,4.25717907948666,4.09415654932906,28.0316526633017,28.2638737092916
Q92616,Q92616,92,92,92,Translational activator GCN1,GCN1L1,sp|Q92616|GCN1_HUMAN eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,92,92,42.7,27.5531076649264,27.1863137669534,31.5014241776551,31.2648916651196
H8Y6P7;P0CAP2;Q9BZD3;P0CAP1,H8Y6P7;P0CAP2;Q9BZD3,3;2;2;1,3;2;2;1,3;2;2;1,DNA-directed RNA polymerase II subunit GRINL1A;Putative GRINL1B complex locus protein 2,GCOM1;POLR2M;GCOM2,tr|H8Y6P7|H8Y6P7_HUMAN GRINL1A combined protein 15 OS=Homo sapiens OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP2|GRL1A_HUMAN DNA-directed RNA polymerase II subunit GRINL1A OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1;sp|Q9BZD3|GCOM2_HUMAN Putative GRINL1B complex lo,3,3,4.7,4.25717907948666,4.09415654932906,23.6905112861965,22.1372738617277
Q8TEQ6,Q8TEQ6,54,54,54,Gem-associated protein 5,GEMIN5,sp|Q8TEQ6|GEMI5_HUMAN Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,54,54,44.2,25.79953914246,25.8272589597879,32.3895649764047,32.0999586387025
Q9UJY5;B0QYR6;B0QYR9;B0QYS0;B0QYS1;A0A087WYN2;B0QYS2;B0QYS3;B0QYR5;B0QYS5;H3BPI3;H3BMM6,Q9UJY5;B0QYR6,4;2;1;1;1;1;1;1;1;1;1;1,3;1;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0;0;0;0;0,ADP-ribosylation factor-binding protein GGA1,GGA1,sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1;tr|B0QYR6|B0QYR6_HUMAN ADP-ribosylation factor-binding protein GGA1 (Fragment) OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,4,3,7.7,4.25717907948666,4.09415654932906,23.3421810357449,23.8730505331932
Q9NZ52;J3KSS7;J3QRS8;J3KSG3;B7Z1E9;J3QRP3;J3QS87;J3KS27;J3QRK7;J3KTR5,Q9NZ52;J3KSS7,10;8;3;3;3;2;2;1;1;1,10;8;3;3;3;2;2;1;1;1,9;7;2;3;2;1;2;1;1;1,ADP-ribosylation factor-binding protein GGA3,GGA3,sp|Q9NZ52|GGA3_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1;tr|J3KSS7|J3KSS7_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1,10,9,19.8,24.8519575668588,23.2645628656177,28.1471501029899,27.8898312666537
O75420,O75420,4,4,4,PERQ amino acid-rich with GYF domain-containing protein 1,GIGYF1,sp|O75420|GGYF1_HUMAN GRB10-interacting GYF protein 1 OS=Homo sapiens OX=9606 GN=GIGYF1 PE=1 SV=2,4,4,6.0,4.25717907948666,4.09415654932906,25.178280669856,25.9362272561816
Q6Y7W6;I1E4Y6;E7ESB6;C9JHW1;C9J0V6;C9JHT0;C9JRZ2;F8WCD5;C9JPV7;C9JXQ0;C9JH18;C9JW88;C9JH78;C9IYH5;C9J7G1;B8ZZD2,Q6Y7W6;I1E4Y6;E7ESB6;C9JHW1,32;30;19;16;4;4;4;3;3;3;3;2;2;2;1;1,32;30;19;16;4;4;4;3;3;3;3;2;2;2;1;1,32;30;19;16;4;4;4;3;3;3;3;2;2;2;1;1,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,sp|Q6Y7W6|GGYF2_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|I1E4Y6|I1E4Y6_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|E7ESB6|E7ESB6_HUMAN GRB10-interacting GYF protein 2 (Fra,32,32,30.9,25.807471472449,26.048162056232,32.0544289111916,31.8444953193595
O14908;K7EM11;Q8TF64;A0A2R8Y651,O14908;K7EM11,3;2;1;1,3;2;1;1,3;2;1;1,PDZ domain-containing protein GIPC1,GIPC1,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;tr|K7EM11|K7EM11_HUMAN PDZ domain-containing protein GIPC1 (Fragment) OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=1,3,3,11.7,4.25717907948666,4.09415654932906,24.4433528434583,24.5282056034262
Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,2;2;2;2,2;2;2;2,2;2;2;2,ARF GTPase-activating protein GIT1,GIT1,sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2;tr|J3QLH1|J3QLH1_HUMAN ARF GTPase-activating protein GIT1 (Fragment) OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=8;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating pr,2,2,4.6,4.25717907948666,4.09415654932906,24.4673727075945,22.8367076321382
Q92990;M0QX84;M0QXG8,Q92990,8;3;3,8;3;3,8;3;3,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,8,8,14.0,27.6787545362108,26.6211472948335,24.1801793028267,23.7201498843343
Q9HC38;F6TLX2;I3L1I0;I3L3Q4,Q9HC38;F6TLX2;I3L1I0;I3L3Q4,2;2;1;1,2;2;1;1,2;2;1;1,Glyoxalase domain-containing protein 4,GLOD4,sp|Q9HC38|GLOD4_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|I3L1I0|I3L1I0_HUMAN Glyoxalase domain-contai,2,2,7.3,22.7240699703966,22.4958003877742,23.6712006835448,23.4542520958071
Q49A26;K7EMM8;K7EQB2,Q49A26;K7EMM8,3;3;1,3;3;1,3;3;1,Putative oxidoreductase GLYR1,GLYR1,sp|Q49A26|GLYR1_HUMAN Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;tr|K7EMM8|K7EMM8_HUMAN Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=2,3,3,8.9,4.25717907948666,4.09415654932906,24.5558449636229,24.1608488483829
P49915,P49915,15,15,15,GMP synthase [glutamine-hydrolyzing],GMPS,sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,15,15,27.6,24.351781459935,22.8638754618205,27.7889275790828,27.6080898713807
P62879;P62873;B1AKQ8;C9JZN1;F6X3N5;F6UT28;C9JIS1;C9JXA5;E7EP32;Q9HAV0,P62879;P62873;B1AKQ8;C9JZN1;F6X3N5;F6UT28;C9JIS1;C9JXA5;E7EP32;Q9HAV0,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein subunit beta-4,GNB2;GNB1;GNB4,sp|P62879|GBB2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3;sp|P62873|GBB1_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3;,2,2,6.5,25.0774905283829,24.8915872221589,4.51247618958678,4.42747165566269
P63244;J3KPE3;H0Y8W2;D6RAC2;H0YAF8;D6REE5;H0YAM7;D6RHH4;D6R9L0;D6R9Z1;D6RFZ9;D6RBD0;E9PD14;D6RAU2;H0Y8R5;D6RF23;D6RGK8;D6R909;D6RHJ5;H0Y9P0;D6RDI0,P63244;J3KPE3;H0Y8W2;D6RAC2;H0YAF8;D6REE5;H0YAM7;D6RHH4;D6R9L0;D6R9Z1,15;14;11;11;10;10;10;10;9;9;7;6;6;6;6;5;3;3;3;3;2,15;14;11;11;10;10;10;10;9;9;7;6;6;6;6;5;3;3;3;3;2,7;7;4;7;5;6;4;3;1;1;2;2;2;2;3;5;2;2;3;3;2,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,sp|P63244|RACK1_HUMAN Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3;tr|J3KPE3|J3KPE3_HUMAN Receptor of-activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=1;tr|H0Y8W2|H0Y8W2_HUMAN Receptor of-activate,15,7,63.4,29.9763724870211,29.032546217049,23.4528706249334,23.7439036338442
Q13823;H0YG10,Q13823;H0YG10,2;1,2;1,2;1,Nucleolar GTP-binding protein 2,GNL2,sp|Q13823|NOG2_HUMAN Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1;tr|H0YG10|H0YG10_HUMAN Nucleolar GTP-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=2,2,2,3.0,4.25717907948666,4.09415654932906,28.4915574087444,28.7255944653946
P46926;D6RAY7;D6R9P4;D6RFF8;D6RFK5;D6R917;D6RB13;Q8TDQ7;V9GYW0;V9GYK3,P46926;D6RAY7;D6R9P4;D6RFF8;D6RFK5;D6R917;D6RB13,4;4;4;4;2;2;2;1;1;1,4;4;4;4;2;2;2;1;1;1,4;4;4;4;2;2;2;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,4,4,18.3,4.25717907948666,4.09415654932906,24.8387957545083,24.9975285574259
Q08379;A0A2Q2TH77;B7ZC06;H0Y7B8;A0A087WYC0;A0A1W2PQY5,Q08379;A0A2Q2TH77;B7ZC06,6;6;4;1;1;1,6;6;4;1;1;1,6;6;4;1;1;1,Golgin subfamily A member 2,GOLGA2,sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3;tr|A0A2Q2TH77|A0A2Q2TH77_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=1;tr|B7ZC06|B7ZC06_HUMAN Golgin subfamily A member 2 (Fragmen,6,6,7.9,4.25717907948666,4.09415654932906,25.3497247775152,24.8413416734658
Q8TBA6;H0YK03,Q8TBA6,9;1,9;1,9;1,Golgin subfamily A member 5,GOLGA5,sp|Q8TBA6|GOGA5_HUMAN Golgin subfamily A member 5 OS=Homo sapiens OX=9606 GN=GOLGA5 PE=1 SV=3,9,9,14.5,4.25717907948666,4.09415654932906,26.2472253637351,26.1273689075441
Q9H8Y8,Q9H8Y8,3,3,3,Golgi reassembly-stacking protein 2,GORASP2,sp|Q9H8Y8|GORS2_HUMAN Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,3,3,13.7,4.25717907948666,4.09415654932906,27.4870013042223,27.5344529780426
Q8N954,Q8N954,3,3,3,G patch domain-containing protein 11,GPATCH11,sp|Q8N954|GPT11_HUMAN G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,3,3,10.5,4.25717907948666,4.09415654932906,25.2955455919835,24.934271089704
E9PAV9;Q5T3I0;A0A0A0MRK1;E9PPY4;F2Z3C6;F8W895,E9PAV9;Q5T3I0;A0A0A0MRK1;E9PPY4;F2Z3C6;F8W895,4;3;3;2;2;2,4;3;3;2;2;2,4;3;3;2;2;2,G patch domain-containing protein 4,GPATCH4,tr|E9PAV9|E9PAV9_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=1;sp|Q5T3I0|GPTC4_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2;tr|A0A0A0MRK1|A0A0A0MRK1_HUMAN G patch domain-con,4,4,12.8,4.25717907948666,4.09415654932906,25.7715281568137,23.6350015467788
Q9UKJ3;K7EKU0,Q9UKJ3,4;1,4;1,4;1,G patch domain-containing protein 8,GPATCH8,sp|Q9UKJ3|GPTC8_HUMAN G patch domain-containing protein 8 OS=Homo sapiens OX=9606 GN=GPATCH8 PE=1 SV=2,4,4,4.2,4.25717907948666,4.09415654932906,25.5654066064912,25.6785799383942
Q9NQX3;F5H039;G3V582;H0YJ30;G3V4R0;G3V355;H0YJR5;G3V4D2,Q9NQX3;F5H039;G3V582,13;13;7;3;2;2;2;1,13;13;7;3;2;2;2;1,13;13;7;3;2;2;2;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|F5H039|F5H039_HUMAN Molybdopterin molybdenumtransferase OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1,13,13,28.9,4.25717907948666,4.09415654932906,27.7056967136178,28.0958218623946
Q92917,Q92917,11,11,11,G patch domain and KOW motifs-containing protein,GPKOW,sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2,11,11,33.6,4.25717907948666,4.09415654932906,27.8352094437819,27.8913966722408
Q9HCN4;F8WD09,Q9HCN4,5;1,5;1,5;1,GPN-loop GTPase 1,GPN1,sp|Q9HCN4|GPN1_HUMAN GPN-loop GTPase 1 OS=Homo sapiens OX=9606 GN=GPN1 PE=1 SV=1,5,5,21.1,4.25717907948666,4.09415654932906,26.457152017821,25.3051471844293
Q7Z2K8,Q7Z2K8,21,21,21,G protein-regulated inducer of neurite outgrowth 1,GPRIN1,sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2,21,21,32.2,4.25717907948666,4.09415654932906,28.792158978699,28.3914509597323
Q14687;H0Y613;H7C3B5,Q14687;H0Y613,3;3;1,3;3;1,3;3;1,Genetic suppressor element 1,GSE1,sp|Q14687|GSE1_HUMAN Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3;tr|H0Y613|H0Y613_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,3,3,3.7,4.25717907948666,4.09415654932906,24.6990644716925,24.6222650133019
P15170;H3BR35;H3BSV8,P15170;H3BR35,7;7;2,7;7;2,2;2;1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,7,2,14.0,4.25717907948666,4.09415654932906,26.439458329137,26.1440990000171
Q8IYD1,Q8IYD1,7,2,2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT2,sp|Q8IYD1|ERF3B_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens OX=9606 GN=GSPT2 PE=1 SV=2,7,2,12.3,4.25717907948666,4.09415654932906,25.1480234344689,24.9875016979316
Q8NEC7;D6RCC4;D6RCC9;D6R9W2,Q8NEC7;D6RCC4;D6RCC9;D6R9W2,2;1;1;1,2;1;1;1,2;1;1;1,Glutathione S-transferase C-terminal domain-containing protein,GSTCD,sp|Q8NEC7|GSTCD_HUMAN Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens OX=9606 GN=GSTCD PE=1 SV=2;tr|D6RCC4|D6RCC4_HUMAN Glutathione S-transferase C-terminal domain-containing protein (Fragment) OS=Homo sapiens OX=9606 GN=GSTC,2,2,4.3,4.25717907948666,4.09415654932906,22.3283856721932,23.2843270943648
P78417;Q5TA02;Q5TA01,P78417;Q5TA02;Q5TA01,8;6;5,8;6;5,8;6;5,Glutathione S-transferase omega-1,GSTO1,sp|P78417|GSTO1_HUMAN Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2;tr|Q5TA02|Q5TA02_HUMAN Glutathione S-transferase omega-1 (Fragment) OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=1;tr|Q5TA01|Q5TA01_HUMAN Glutathione S-transfera,8,8,29.5,23.8209447607273,21.1180691269687,27.0351711132298,26.9358452252021
P52655;J3KNC0,P52655;J3KNC0,4;3,4;3,4;3,Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain,GTF2A1,sp|P52655|TF2AA_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1;tr|J3KNC0|J3KNC0_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1,4,4,21.8,4.25717907948666,4.09415654932906,26.9842452936278,30.0042371426778
P29083;E9PER7;C9J329;C9IYL4,P29083,11;5;3;3,11;5;3;3,11;5;3;3,General transcription factor IIE subunit 1,GTF2E1,sp|P29083|T2EA_HUMAN General transcription factor IIE subunit 1 OS=Homo sapiens OX=9606 GN=GTF2E1 PE=1 SV=2,11,11,29.8,4.25717907948666,4.09415654932906,28.0249597225772,27.712075529259
P29084;E5RH41;E5RIW4;E5RK24,P29084,13;6;3;2,13;6;3;2,13;6;3;2,Transcription initiation factor IIE subunit beta,GTF2E2,sp|P29084|T2EB_HUMAN Transcription initiation factor IIE subunit beta OS=Homo sapiens OX=9606 GN=GTF2E2 PE=1 SV=1,13,13,50.5,4.25717907948666,4.09415654932906,29.2494333677161,28.9106221460097
P35269;M0R0Z3;M0QXD6;M0R0R9,P35269;M0R0Z3;M0QXD6;M0R0R9,4;3;3;2,4;3;3;2,4;3;3;2,General transcription factor IIF subunit 1,GTF2F1,sp|P35269|T2FA_HUMAN General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2;tr|M0R0Z3|M0R0Z3_HUMAN Transcription initiation factor IIF subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=1;tr|M0QXD6|M0QXD6_HUM,4,4,11.2,4.25717907948666,4.09415654932906,25.8320248449972,25.6696878581068
P13984,P13984,12,12,12,General transcription factor IIF subunit 2,GTF2F2,sp|P13984|T2FB_HUMAN General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,12,12,60.6,4.25717907948666,4.09415654932906,27.7924693091098,27.5504679172282
