Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9BRR8,Q9BRR8,14,14,13,G patch domain-containing protein 1,GPATCH1,sp|Q9BRR8|GPTC1_HUMAN G patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GPATCH1 PE=1 SV=1,14,13,26.3,27.6829787293885,27.0632197833495,25.0775720204631,24.6065629226163
Q8N954,Q8N954,3,3,3,G patch domain-containing protein 11,GPATCH11,sp|Q8N954|GPT11_HUMAN G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,3,3,10.5,26.8531715164541,25.7341495553964,25.2955455919835,24.934271089704
Q5T3I0;A0A0A0MRK1;E9PAV9;E9PPY4;F2Z3C6;F8W895,Q5T3I0;A0A0A0MRK1;E9PAV9;E9PPY4;F2Z3C6;F8W895,3;3;3;2;2;2,3;3;3;2;2;2,3;3;3;2;2;2,G patch domain-containing protein 4,GPATCH4,sp|Q5T3I0|GPTC4_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2;tr|A0A0A0MRK1|A0A0A0MRK1_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=1;tr|E9PAV9|E9PAV9_HUMAN G patch domain-con,3,3,8.1,24.5252808777808,24.4902035662069,25.608484728487,24.8701837060426
Q9UKJ3;K7EKU0,Q9UKJ3,4;1,4;1,4;1,G patch domain-containing protein 8,GPATCH8,sp|Q9UKJ3|GPTC8_HUMAN G patch domain-containing protein 8 OS=Homo sapiens OX=9606 GN=GPATCH8 PE=1 SV=2,4,4,4.2,22.7356014709981,22.8147788042119,25.5654066064912,25.6785799383942
Q9NQX3;F5H039;G3V582;H0YJ30;G3V4R0;G3V355;G3V4D2;H0YJR5,Q9NQX3;F5H039;G3V582,13;13;8;4;2;2;1;1,13;13;8;4;2;2;1;1,13;13;8;4;2;2;1;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|F5H039|F5H039_HUMAN Molybdopterin molybdenumtransferase OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1,13,13,28.7,24.4743837756716,25.4961906217612,27.7056967136178,27.8770124057021
Q92917,Q92917,16,16,16,G patch domain and KOW motifs-containing protein,GPKOW,sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2,16,16,46.2,28.8426009621905,27.4078692407442,27.9021346680956,28.1109303263746
Q9HCN4;F8WD09,Q9HCN4,5;1,5;1,5;1,GPN-loop GTPase 1,GPN1,sp|Q9HCN4|GPN1_HUMAN GPN-loop GTPase 1 OS=Homo sapiens OX=9606 GN=GPN1 PE=1 SV=1,5,5,21.1,25.4802282660978,24.6293979787085,26.457152017821,25.7877077093454
Q7Z2K8,Q7Z2K8,30,30,30,G protein-regulated inducer of neurite outgrowth 1,GPRIN1,sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2,30,30,42.3,27.8996017046023,26.0099862709715,28.9761812622822,28.5838757917922
Q14687;H0Y613;H7C3B5,Q14687;H0Y613,5;5;2,5;5;2,5;5;2,Genetic suppressor element 1,GSE1,sp|Q14687|GSE1_HUMAN Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3;tr|H0Y613|H0Y613_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,5,5,6.6,25.1000100383619,24.0156328341126,25.116364586613,25.1266798991128
P15170;H3BR35;H3BSV8,P15170;H3BR35,12;12;4,12;12;4,4;4;2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,12,4,28.9,26.5970466169504,25.3603809529031,26.3648785890375,26.1440990000171
Q8IYD1,Q8IYD1,10,2,2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT2,sp|Q8IYD1|ERF3B_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens OX=9606 GN=GSPT2 PE=1 SV=2,10,2,18.6,24.6727541058376,23.3842957750497,25.1480234344689,24.9875016979316
Q8NEC7;D6RCC4;D6RCC9;D6R9W2,Q8NEC7;D6RCC4;D6RCC9;D6R9W2,2;1;1;1,2;1;1;1,2;1;1;1,Glutathione S-transferase C-terminal domain-containing protein,GSTCD,sp|Q8NEC7|GSTCD_HUMAN Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens OX=9606 GN=GSTCD PE=1 SV=2;tr|D6RCC4|D6RCC4_HUMAN Glutathione S-transferase C-terminal domain-containing protein (Fragment) OS=Homo sapiens OX=9606 GN=GSTC,2,2,4.3,4.29321427599828,4.26311898798562,22.3283856721932,23.2843270943648
Q03013;A0A0A0MR85;P28161;P09488;H3BQT3;E9PLF1;B9ZVX7;E9PHN7;E9PHN6;F6XZQ7;E7EWW9,Q03013;A0A0A0MR85;P28161;P09488;H3BQT3;E9PLF1;B9ZVX7;E9PHN7;E9PHN6;F6XZQ7;E7EWW9,2;2;1;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1;1,Glutathione S-transferase Mu 4;Glutathione S-transferase Mu 2;Glutathione S-transferase Mu 1,GSTM4;GSTM2;GSTM1,sp|Q03013|GSTM4_HUMAN Glutathione S-transferase Mu 4 OS=Homo sapiens OX=9606 GN=GSTM4 PE=1 SV=3;tr|A0A0A0MR85|A0A0A0MR85_HUMAN Glutathione S-transferase Mu 4 OS=Homo sapiens OX=9606 GN=GSTM4 PE=1 SV=1;sp|P28161|GSTM2_HUMAN Glutathione S-transferase Mu 2 OS,2,2,13.8,24.4546497596458,22.9040406671009,25.3112452165186,24.9433772590563
P78417;Q5TA02;Q5TA01,P78417;Q5TA02;Q5TA01,7;6;5,7;6;5,7;6;5,Glutathione S-transferase omega-1,GSTO1,sp|P78417|GSTO1_HUMAN Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2;tr|Q5TA02|Q5TA02_HUMAN Glutathione S-transferase omega-1 (Fragment) OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=1;tr|Q5TA01|Q5TA01_HUMAN Glutathione S-transfera,7,7,26.6,24.3863911528415,23.251634386181,27.0351711132298,26.9358452252021
P52655;J3KNC0,P52655;J3KNC0,4;3,4;3,4;3,Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain,GTF2A1,sp|P52655|TF2AA_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1;tr|J3KNC0|J3KNC0_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1,4,4,21.8,25.4704791534803,28.7692911023475,26.9842452936278,30.0042371426778
P29083;E9PER7;C9J329;C9IYL4,P29083;E9PER7,13;7;3;3,13;7;3;3,13;7;3;3,General transcription factor IIE subunit 1,GTF2E1,sp|P29083|T2EA_HUMAN General transcription factor IIE subunit 1 OS=Homo sapiens OX=9606 GN=GTF2E1 PE=1 SV=2;tr|E9PER7|E9PER7_HUMAN General transcription factor IIE subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=GTF2E1 PE=1 SV=1,13,13,32.8,27.3845098772954,26.1138635943497,28.0249597225772,27.7400823343526
P29084;E5RH41;E5RIW4;E5RK24,P29084;E5RH41,15;8;4;3,15;8;4;3,15;8;4;3,Transcription initiation factor IIE subunit beta,GTF2E2,sp|P29084|T2EB_HUMAN Transcription initiation factor IIE subunit beta OS=Homo sapiens OX=9606 GN=GTF2E2 PE=1 SV=1;tr|E5RH41|E5RH41_HUMAN Transcription initiation factor IIE subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=GTF2E2 PE=1 SV=1,15,15,51.2,28.3506439037366,28.1670563087827,29.2494333677161,28.9106221460097
P35269;M0QXD6;M0R0Z3;M0R0R9,P35269;M0QXD6;M0R0Z3,5;4;3;2,5;4;3;2,5;4;3;2,General transcription factor IIF subunit 1,GTF2F1,sp|P35269|T2FA_HUMAN General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2;tr|M0QXD6|M0QXD6_HUMAN Transcription initiation factor IIF subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=1;tr|M0R0Z3|M0R0Z3_HUM,5,5,14.5,24.8598441309361,23.6635120672686,25.8320248449972,25.6696878581068
P13984,P13984,13,13,13,General transcription factor IIF subunit 2,GTF2F2,sp|P13984|T2FB_HUMAN General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,13,13,63.9,28.3253022293725,26.8592280300273,27.7924693091098,27.6283274980632
P78347;A0A494C1K3;A0A494C0Q7,P78347;A0A494C1K3;A0A494C0Q7,6;6;3,6;6;3,6;6;3,General transcription factor II-I,GTF2I,sp|P78347|GTF2I_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2;tr|A0A494C1K3|A0A494C1K3_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=1;tr|A0A494C0Q7|A0A494C0Q7_HUMAN General transcript,6,6,9.4,24.3381732639083,21.7263794980578,24.0281677765384,24.52169148704
Q12789;H3BU55;H3BRD0;H3BU37,Q12789,23;2;2;2,23;2;2;2,21;2;2;2,General transcription factor 3C polypeptide 1,GTF3C1,sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4,23,21,13.9,24.8851597516743,23.2154459047552,28.5314814115113,27.8534095063987
Q9UKN8;F2Z356,Q9UKN8,17;2,17;2,17;2,General transcription factor 3C polypeptide 4,GTF3C4,sp|Q9UKN8|TF3C4_HUMAN General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2,17,17,26.4,27.8080855158892,26.5990349742815,27.8071029208974,27.6575141749238
Q9Y5Q8;Q5T7U1;H7BY84;Q5T7U0;Q5T7U4;H0Y5D2,Q9Y5Q8;Q5T7U1;H7BY84,11;10;6;5;4;3,11;10;6;5;4;3,11;10;6;5;4;3,General transcription factor 3C polypeptide 5,GTF3C5,sp|Q9Y5Q8|TF3C5_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2;tr|Q5T7U1|Q5T7U1_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=1;tr|H7BY84|H7BY84_HUMAN General,11,11,26.2,25.6799492925461,26.2992366709584,26.9479311680851,26.8342451559753
Q9UBP9;H0Y6R1,Q9UBP9;H0Y6R1,2;1,2;1,2;1,PTB domain-containing engulfment adapter protein 1,GULP1,sp|Q9UBP9|GULP1_HUMAN PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1;tr|H0Y6R1|H0Y6R1_HUMAN PTB domain-containing engulfment adapter protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1,2,2,6.9,4.29321427599828,4.26311898798562,24.4560711067733,24.1627521419026
P46976;C9JQ42;G5E9W8;C9J8R8;C9J7C7,P46976;C9JQ42;G5E9W8,7;6;5;1;1,7;6;5;1;1,7;6;5;1;1,Glycogenin-1,GYG1,"sp|P46976|GLYG_HUMAN Glycogenin-1 OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=4;tr|C9JQ42|C9JQ42_HUMAN Glycogenin-1 (Fragment) OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=8;tr|G5E9W8|G5E9W8_HUMAN Glycogenin 1, isoform CRA_e OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=",7,7,24.0,27.8106003651336,25.7316401374797,27.0236914191629,26.0953088039999
P07305,P07305,2,2,2,"Histone H1.0;Histone H1.0, N-terminally processed",H1F0,sp|P07305|H10_HUMAN Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,2,2,10.8,24.85039846768,23.6313422745085,23.6927474453229,24.6321747426747
O14929;F8W9G7,O14929,8;1,8;1,8;1,Histone acetyltransferase type B catalytic subunit,HAT1,sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1,8,8,30.8,26.8856485286451,26.486280198334,28.5694613340176,28.1709284196016
Q9NVX0;H3BQU2;U3KQI5;J3QT48;H3BP24;H3BP16,Q9NVX0,5;2;1;1;1;1,5;2;1;1;1;1,5;2;1;1;1;1,HAUS augmin-like complex subunit 2,HAUS2,sp|Q9NVX0|HAUS2_HUMAN HAUS augmin-like complex subunit 2 OS=Homo sapiens OX=9606 GN=HAUS2 PE=1 SV=1,5,5,25.1,25.4812064755384,25.7130856591784,4.42522191267267,4.39210376514955
Q7Z4H7;Q5VY60;Q5SYF9,Q7Z4H7;Q5VY60,36;34;13,36;34;13,36;34;13,HAUS augmin-like complex subunit 6,HAUS6,sp|Q7Z4H7|HAUS6_HUMAN HAUS augmin-like complex subunit 6 OS=Homo sapiens OX=9606 GN=HAUS6 PE=1 SV=2;tr|Q5VY60|Q5VY60_HUMAN HAUS augmin-like complex subunit 6 OS=Homo sapiens OX=9606 GN=HAUS6 PE=1 SV=1,36,36,51.3,29.3322132284354,28.6601693799674,28.924563536176,28.6549906089092
Q9Y450;B7Z524;H0YDX7;J3QT46;E9PHZ9;E9PN23;G5E991;E9PMN1;H0YES5;E9PJ90;E9PS53,Q9Y450;B7Z524;H0YDX7;J3QT46,22;16;16;16;7;6;6;6;6;4;3,22;16;16;16;7;6;6;6;6;4;3,16;16;16;16;7;0;0;0;6;0;3,HBS1-like protein,HBS1L,sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|B7Z524|B7Z524_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|H0YDX7|H0YDX7_HUMAN HBS1-like protein (Fragment) OS=Homo sapiens OX=9606 GN=HBS1L PE=1,22,16,41.4,27.6303426782279,26.9702681206298,28.1453532596536,28.283921032111
P51610;A6NEM2;H7C1C4;Q9Y5Z7,P51610;A6NEM2,42;41;6;1,42;41;6;1,42;41;6;1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,42,42,31.4,31.5050264143353,30.5304585202731,32.0278884107424,31.8790594041779
Q9UQL6;K7EJL4;K7EJL6;P56524;C9J0X4;C9J481;A0A087WYQ4,Q9UQL6,12;4;3;2;1;1;1,12;4;3;2;1;1;1,9;3;2;1;1;1;0,Histone deacetylase 5,HDAC5,sp|Q9UQL6|HDAC5_HUMAN Histone deacetylase 5 OS=Homo sapiens OX=9606 GN=HDAC5 PE=1 SV=2,12,9,15.2,4.29321427599828,4.26311898798562,27.0906325781347,27.0332816695127
Q9UBN7;A0A2R8YDE6;A6NDI8;A0A2R8YD35;C9J172;Q9BRX7;E7ER52;A0A2R8Y5Z4;A0A2R8YCS4;A0A2R8Y758;C9JEF4;A0A2R8Y559,Q9UBN7;A0A2R8YDE6,10;9;4;3;3;3;3;2;2;1;1;1,10;9;4;3;3;3;3;2;2;1;1;1,7;7;1;0;0;0;0;0;1;1;0;1,Histone deacetylase 6,HDAC6,sp|Q9UBN7|HDAC6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=2;tr|A0A2R8YDE6|A0A2R8YDE6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=1,10,7,13.0,26.8436195819273,26.5617118994338,28.0971288336012,27.0278093351284
P51858,P51858,11,10,10,Hepatoma-derived growth factor,HDGF,sp|P51858|HDGF_HUMAN Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,11,10,60.0,25.6783650197627,25.2068976505814,28.0298638937855,27.6093586705408
Q7Z4V5;M0R0J3;K7EPS6;K7ERA4;Q9Y3E1;A0A087WX58;A0A087WZ99;H3BPQ6;A0A087WT54,Q7Z4V5,12;5;4;3;2;2;2;1;1,12;5;4;3;2;2;2;1;1,11;4;4;3;1;2;2;0;1,Hepatoma-derived growth factor-related protein 2,HDGFRP2,sp|Q7Z4V5|HDGR2_HUMAN Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens OX=9606 GN=HDGFL2 PE=1 SV=1,12,11,19.5,25.9841583554831,24.8511043456999,28.0455711261404,27.5483379356177
A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JHS7;C9JK79;C9JT62;H7BZC3;H7C2D1;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,A0A024R4E5;Q00341;H0Y394,40;39;25;18;14;12;10;9;9;8;5;5;5;5;4;4;4;3;3;1;1,40;39;25;18;14;12;10;9;9;8;5;5;5;5;4;4;4;3;3;1;1,40;39;25;18;14;12;10;9;9;8;5;5;5;5;4;4;4;3;3;1;1,Vigilin,HDLBP,"tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",40,40,39.0,29.2130118218655,29.4373602786088,30.0211514624489,30.146980227126
Q9H583;Q5T3Q7;Q6P664,Q9H583;Q5T3Q7,11;10;1,11;10;1,11;10;1,"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed",HEATR1,sp|Q9H583|HEAT1_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3;tr|Q5T3Q7|Q5T3Q7_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=1,11,11,6.9,22.6203531887203,23.7750499947566,25.8177772676828,25.3538352145552
Q86XA9;F5H619;F8VQQ6;H7C5W6;H0YIW3,Q86XA9;F5H619,5;5;2;2;1,5;5;2;2;1,5;5;2;2;1,HEAT repeat-containing protein 5A,HEATR5A,sp|Q86XA9|HTR5A_HUMAN HEAT repeat-containing protein 5A OS=Homo sapiens OX=9606 GN=HEATR5A PE=1 SV=2;tr|F5H619|F5H619_HUMAN HEAT repeat-containing protein 5A OS=Homo sapiens OX=9606 GN=HEATR5A PE=1 SV=1,5,5,3.0,4.29321427599828,4.26311898798562,26.1272704979124,25.8978836680975
Q9P2D3;H7C2X3,Q9P2D3,13;2,13;2,13;2,HEAT repeat-containing protein 5B,HEATR5B,sp|Q9P2D3|HTR5B_HUMAN HEAT repeat-containing protein 5B OS=Homo sapiens OX=9606 GN=HEATR5B PE=1 SV=2,13,13,9.9,25.3543734206436,22.312741174041,25.8693131314223,26.2834795304273
Q9NRV9;A0A3B3IRV5;F5GWX2;H0YG71,Q9NRV9;A0A3B3IRV5;F5GWX2,3;3;2;1,3;3;2;1,3;3;2;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|F5GWX2|F5GWX2_HUMAN Heme-binding protein 1 OS=Homo sapien,3,3,26.5,25.3799589629356,24.5852018807104,25.7306040535249,25.1092073603647
Q5T447,Q5T447,2,2,2,E3 ubiquitin-protein ligase HECTD3,HECTD3,sp|Q5T447|HECD3_HUMAN E3 ubiquitin-protein ligase HECTD3 OS=Homo sapiens OX=9606 GN=HECTD3 PE=1 SV=1,2,2,3.3,22.7238408968087,22.5802424519658,4.42522191267267,4.39210376514955
P42694;J3QS41;A0A075B6R3,P42694;J3QS41;A0A075B6R3,4;4;2,4;4;2,4;4;2,Probable helicase with zinc finger domain,HELZ,sp|P42694|HELZ_HUMAN Probable helicase with zinc finger domain OS=Homo sapiens OX=9606 GN=HELZ PE=1 SV=2;tr|J3QS41|J3QS41_HUMAN Probable helicase with zinc finger domain OS=Homo sapiens OX=9606 GN=HELZ PE=1 SV=1;tr|A0A075B6R3|A0A075B6R3_HUMAN Probable heli,4,4,2.4,4.29321427599828,4.26311898798562,23.7604032187922,24.6022956238236
O94992,O94992,4,4,4,Protein HEXIM1,HEXIM1,sp|O94992|HEXI1_HUMAN Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1,4,4,18.1,25.2207390649996,24.616835975841,23.9575718285882,23.8949502098835
O14964;I3L1P5;I3L165;I3L1E3;I3L2H4,O14964;I3L1P5,13;9;3;3;1,13;9;3;3;1,13;9;3;3;1,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1;tr|I3L1P5|I3L1P5_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate (Fragment) OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=,13,13,16.2,26.9125078354097,26.219890214591,28.1579325911905,27.9461470342471
P49773;D6REP8;D6RE99;D6RD60;D6RC06,P49773;D6REP8;D6RE99;D6RD60,4;2;2;2;1,4;2;2;2;1,4;2;2;2;1,Histidine triad nucleotide-binding protein 1,HINT1,sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2;tr|D6REP8|D6REP8_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=1;tr|D6RE99|D6RE99_HUMAN Histidine tr,4,4,61.1,27.1000902683163,24.2050098606633,23.4706032722949,23.1141814210934
P16403,P16403,8,2,2,Histone H1.2,HIST1H1C,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,8,2,27.7,23.8521477120961,23.3213536355634,24.2563791727447,23.508936969077
P10412;P16402;Q02539;P22492,P10412;P16402,9;6;2;2,9;6;2;2,3;0;0;0,Histone H1.4;Histone H1.3,HIST1H1E;HIST1H1D,sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,9,3,26.9,27.357665559035,25.8656840044466,27.3280877280815,26.189371245062
Q96KK5;Q6FI13;A0A0U1RR32;Q9BTM1;Q99878;Q16777;A0A0U1RRH7;P0C0S8;P20671;H0YFX9;P04908;Q7L7L0;Q93077;Q96QV6;A0A3B3IS11;P16104;Q8IUE6,Q96KK5;Q6FI13;A0A0U1RR32;Q9BTM1;Q99878;Q16777;A0A0U1RRH7;P0C0S8;P20671;H0YFX9;P04908;Q7L7L0;Q93077;Q96QV6;A0A3B3IS11;P16104,4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;2;1,4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;2;1,2;2;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0,Histone H2A type 1-H;Histone H2A type 2-A;Histone H2A.J;Histone H2A type 1-J;Histone H2A type 2-C;Histone H2A type 1;Histone H2A type 1-D;Histone H2A;Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C;Histone H2A type 1-A;Histone H2AX,HIST1H2AH;HIST2H2AA3;H2AFJ;HIST1H2AJ;HIST2H2AC;HIST1H2AG;HIST1H2AD;HIST1H2AB;HIST3H2A;HIST1H2AC;HIST1H2AA;H2AFX,sp|Q96KK5|H2A1H_HUMAN Histone H2A type 1-H OS=Homo sapiens OX=9606 GN=H2AC12 PE=1 SV=3;sp|Q6FI13|H2A2A_HUMAN Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC18 PE=1 SV=3;tr|A0A0U1RR32|A0A0U1RR32_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=hCG_2039566,4,2,35.9,28.2574136690849,27.0048532611861,26.4140135382414,26.1251037859491
Q99880;Q93079;Q99877;P62807;P58876;O60814;Q5QNW6;Q99879;P57053;U3KQK0;Q96A08;A0A2R8Y619,Q99880;Q93079;Q99877;P62807;P58876;O60814;Q5QNW6;Q99879;P57053;U3KQK0,4;4;4;4;4;4;4;4;4;4;1;1,4;4;4;4;4;4;4;4;4;4;1;1,2;2;2;2;2;2;2;2;2;2;0;0,Histone H2B type 1-L;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 2-F;Histone H2B type 1-M;Histone H2B type F-S;Histone H2B,HIST1H2BL;HIST1H2BH;HIST1H2BN;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST2H2BF;HIST1H2BM;H2BFS,sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3;sp|Q93079|H2B1H_HUMAN Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3;sp|Q99877|H2B1N_HUMAN Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 S,4,2,27.0,28.7189487916205,27.4253439777849,27.3106869679217,27.2339790197498
