Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
H8Y6P7;P0CAP2;Q9BZD3;P0CAP1,H8Y6P7;P0CAP2;Q9BZD3,5;4;4;1,5;4;4;1,5;4;4;1,DNA-directed RNA polymerase II subunit GRINL1A;Putative GRINL1B complex locus protein 2,GCOM1;POLR2M;GCOM2,tr|H8Y6P7|H8Y6P7_HUMAN GRINL1A combined protein 15 OS=Homo sapiens OX=9606 GN=GCOM1 PE=2 SV=1;sp|P0CAP2|GRL1A_HUMAN DNA-directed RNA polymerase II subunit GRINL1A OS=Homo sapiens OX=9606 GN=POLR2M PE=1 SV=1;sp|Q9BZD3|GCOM2_HUMAN Putative GRINL1B complex lo,5,5,9.5,4.09271599355779,3.98362812786341,24.3758380717377,23.6937047392253
Q8TEQ6,Q8TEQ6,56,56,56,Gem-associated protein 5,GEMIN5,sp|Q8TEQ6|GEMI5_HUMAN Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,56,56,46.2,25.6145631530059,22.7759140464668,32.2453869315229,32.0178375108817
Q9UJY5;B0QYR6;Q9UJY4;B0QYR9;B0QYS0;B0QYS1;A0A087WYN2;B0QYS2;B0QYS3;B0QYR5;B0QYS5;H3BPI3;H3BMM6,Q9UJY5;B0QYR6,4;2;1;1;1;1;1;1;1;1;1;1;1,3;1;0;0;0;0;0;0;0;0;0;0;0,3;1;0;0;0;0;0;0;0;0;0;0;0,ADP-ribosylation factor-binding protein GGA1,GGA1,sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1;tr|B0QYR6|B0QYR6_HUMAN ADP-ribosylation factor-binding protein GGA1 (Fragment) OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,4,3,7.7,4.09271599355779,3.98362812786341,23.3421810357449,24.3674638106445
Q9NZ52;J3KSS7;J3QS87;J3QRS8;J3KSG3;B7Z1E9;J3KS27;J3QRK7;J3KTR5;J3QRP3,Q9NZ52;J3KSS7,12;10;4;3;3;3;2;2;2;2,12;10;4;3;3;3;2;2;2;2,11;9;4;2;3;2;2;2;2;1,ADP-ribosylation factor-binding protein GGA3,GGA3,sp|Q9NZ52|GGA3_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1;tr|J3KSS7|J3KSS7_HUMAN ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1,12,11,27.0,4.09271599355779,3.98362812786341,28.1758848292154,27.9625115291148
O75420,O75420,5,5,5,PERQ amino acid-rich with GYF domain-containing protein 1,GIGYF1,sp|O75420|GGYF1_HUMAN GRB10-interacting GYF protein 1 OS=Homo sapiens OX=9606 GN=GIGYF1 PE=1 SV=2,5,5,9.8,22.6582254320099,21.0462134490648,25.178280669856,25.9362272561816
Q6Y7W6;I1E4Y6;E7ESB6;C9JHW1;C9JH18;C9J0V6;C9JHT0;C9JRZ2;F8WCD5;C9JPV7;C9JXQ0;C9JW88;C9JH78;C9IYH5;C9J7G1;B8ZZD2,Q6Y7W6;I1E4Y6;E7ESB6,33;31;18;15;5;4;4;4;3;3;3;2;2;2;1;1,33;31;18;15;5;4;4;4;3;3;3;2;2;2;1;1,33;31;18;15;5;4;4;4;3;3;3;2;2;2;1;1,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,sp|Q6Y7W6|GGYF2_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|I1E4Y6|I1E4Y6_HUMAN GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1;tr|E7ESB6|E7ESB6_HUMAN GRB10-interacting GYF protein 2 (Fra,33,33,31.3,28.8098954228322,25.3113627885395,32.0621391321296,31.79327585591
Q14691,Q14691,3,3,3,DNA replication complex GINS protein PSF1,GINS1,sp|Q14691|PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens OX=9606 GN=GINS1 PE=1 SV=1,3,3,15.3,4.09271599355779,3.98362812786341,24.2689942336069,22.6424466195201
O14908;K7EM11;Q8TF64;A0A2R8Y651,O14908;K7EM11,3;2;1;1,3;2;1;1,3;2;1;1,PDZ domain-containing protein GIPC1,GIPC1,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;tr|K7EM11|K7EM11_HUMAN PDZ domain-containing protein GIPC1 (Fragment) OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=1,3,3,11.7,4.09271599355779,3.98362812786341,24.4433528434583,24.5282056034262
Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,Q9Y2X7;J3QLH1;J3QRU8;A0A0C4DGN6,2;2;2;2,2;2;2;2,2;2;2;2,ARF GTPase-activating protein GIT1,GIT1,sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2;tr|J3QLH1|J3QLH1_HUMAN ARF GTPase-activating protein GIT1 (Fragment) OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=8;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating pr,2,2,4.6,4.09271599355779,3.98362812786341,24.4673727075945,22.8367076321382
Q92990;M0QX84;M0QXG8,Q92990,5;2;1,5;2;1,5;2;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,5,5,7.6,24.3102189065861,22.4148813305797,24.1801793028267,23.7201498843343
Q9HC38;F6TLX2;I3L1I0;I3L3Q4,Q9HC38;F6TLX2;I3L1I0;I3L3Q4,2;2;1;1,2;2;1;1,2;2;1;1,Glyoxalase domain-containing protein 4,GLOD4,sp|Q9HC38|GLOD4_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1;tr|I3L1I0|I3L1I0_HUMAN Glyoxalase domain-contai,2,2,7.3,23.4141587443249,21.4041603150611,23.6712006835448,23.4542520958071
P35754,P35754,5,5,5,Glutaredoxin-1,GLRX,sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens OX=9606 GN=GLRX PE=1 SV=2,5,5,50.9,24.5423867254336,24.576059405305,4.49389273847095,4.43205595859272
Q49A26;K7EMM8;K7EQB2,Q49A26;K7EMM8,3;3;1,3;3;1,3;3;1,Putative oxidoreductase GLYR1,GLYR1,sp|Q49A26|GLYR1_HUMAN Putative oxidoreductase GLYR1 OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=4;tr|K7EMM8|K7EMM8_HUMAN Putative oxidoreductase GLYR1 (Fragment) OS=Homo sapiens OX=9606 GN=GLYR1 PE=1 SV=2,3,3,8.9,4.09271599355779,3.98362812786341,24.5558449636229,24.1608488483829
P49915,P49915,18,18,18,GMP synthase [glutamine-hydrolyzing],GMPS,sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,18,18,33.8,25.4175105527366,22.5024236136859,27.8873928101306,27.6272144684186
P63244;J3KPE3;H0YAF8;H0Y8W2;D6RAC2;D6RHH4;D6REE5;D6R9L0;H0YAM7;D6R9Z1;D6RFX4;D6RFZ9;E9PD14;D6RAU2;D6RF23;H0Y9P0;H0Y8R5;D6RBD0;D6R909;D6RHJ5;D6RGK8,P63244;J3KPE3;H0YAF8;H0Y8W2;D6RAC2;D6RHH4;D6REE5;D6R9L0;H0YAM7;D6R9Z1;D6RFX4,7;6;5;5;5;5;4;4;4;4;4;3;3;3;3;2;2;1;1;1;1,7;6;5;5;5;5;4;4;4;4;4;3;3;3;3;2;2;1;1;1;1,7;6;5;5;5;5;4;4;4;4;4;3;3;3;3;2;2;1;1;1;1,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,sp|P63244|RACK1_HUMAN Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3;tr|J3KPE3|J3KPE3_HUMAN Receptor of-activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=1;tr|H0YAF8|H0YAF8_HUMAN Receptor of-activate,7,7,30.0,25.6135799601249,24.8786268522709,23.4528706249334,23.7813073692831
Q13823;H0YG10,Q13823,3;1,3;1,3;1,Nucleolar GTP-binding protein 2,GNL2,sp|Q13823|NOG2_HUMAN Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,3,3,5.5,4.09271599355779,3.98362812786341,28.4915574087444,28.7737303128239
P46926;D6RAY7;D6R9P4;D6RFF8;D6RFK5;D6R917;D6RB13,P46926;D6RAY7;D6R9P4;D6RFF8;D6RFK5;D6R917;D6RB13,2;2;2;2;1;1;1,2;2;2;2;1;1;1,2;2;2;2;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,2,2,11.4,4.09271599355779,3.98362812786341,23.8324836675441,24.2570269442324
Q08379;A0A2Q2TH77;B7ZC06;H0Y7B8;A0A087WYC0;A0A1W2PQY5,Q08379;A0A2Q2TH77;B7ZC06,6;6;4;1;1;1,6;6;4;1;1;1,6;6;4;1;1;1,Golgin subfamily A member 2,GOLGA2,sp|Q08379|GOGA2_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3;tr|A0A2Q2TH77|A0A2Q2TH77_HUMAN Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=1;tr|B7ZC06|B7ZC06_HUMAN Golgin subfamily A member 2 (Fragmen,6,6,7.9,4.09271599355779,3.98362812786341,25.3497247775152,24.8413416734658
Q8TBA6;H0YK03,Q8TBA6,10;1,10;1,10;1,Golgin subfamily A member 5,GOLGA5,sp|Q8TBA6|GOGA5_HUMAN Golgin subfamily A member 5 OS=Homo sapiens OX=9606 GN=GOLGA5 PE=1 SV=3,10,10,17.0,4.09271599355779,3.98362812786341,26.5175676346352,26.1273689075441
Q9NYA3;A6NDN3;A6NDK9;P0CG33,Q9NYA3;A6NDN3;A6NDK9;P0CG33,2;2;2;1,2;2;2;1,2;2;2;1,Golgin subfamily A member 6A;Putative golgin subfamily A member 6B;Putative golgin subfamily A member 6C;Putative golgin subfamily A member 6D,GOLGA6A;GOLGA6B;GOLGA6C;GOLGA6D,sp|Q9NYA3|GOG6A_HUMAN Golgin subfamily A member 6A OS=Homo sapiens OX=9606 GN=GOLGA6A PE=1 SV=3;sp|A6NDN3|GOG6B_HUMAN Golgin subfamily A member 6B OS=Homo sapiens OX=9606 GN=GOLGA6B PE=3 SV=3;sp|A6NDK9|GOG6C_HUMAN Golgin subfamily A member 6C OS=Homo sapie,2,2,4.2,20.5451945129543,20.2037646405098,28.1844704897744,26.2391792414822
Q9H8Y8,Q9H8Y8,4,4,4,Golgi reassembly-stacking protein 2,GORASP2,sp|Q9H8Y8|GORS2_HUMAN Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,4,4,19.7,4.09271599355779,3.98362812786341,27.4870013042223,27.645607972976
Q8N954,Q8N954,3,3,3,G patch domain-containing protein 11,GPATCH11,sp|Q8N954|GPT11_HUMAN G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,3,3,10.5,4.09271599355779,3.98362812786341,25.2955455919835,24.934271089704
E9PAV9;Q5T3I0;A0A0A0MRK1;E9PPY4;F2Z3C6;F8W895,E9PAV9;Q5T3I0;A0A0A0MRK1;E9PPY4;F2Z3C6;F8W895,4;3;3;2;2;2,4;3;3;2;2;2,4;3;3;2;2;2,G patch domain-containing protein 4,GPATCH4,tr|E9PAV9|E9PAV9_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=1;sp|Q5T3I0|GPTC4_HUMAN G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2;tr|A0A0A0MRK1|A0A0A0MRK1_HUMAN G patch domain-con,4,4,12.8,4.09271599355779,3.98362812786341,25.7715281568137,24.8701837060426
Q9UKJ3;K7EKU0,Q9UKJ3,4;1,4;1,4;1,G patch domain-containing protein 8,GPATCH8,sp|Q9UKJ3|GPTC8_HUMAN G patch domain-containing protein 8 OS=Homo sapiens OX=9606 GN=GPATCH8 PE=1 SV=2,4,4,4.2,4.09271599355779,3.98362812786341,25.5654066064912,25.6785799383942
Q9NQX3;F5H039;G3V582;H0YJ30;G3V4R0;G3V355;H0YJR5;G3V4D2,Q9NQX3;F5H039;G3V582,13;13;7;3;2;2;2;1,13;13;7;3;2;2;2;1,13;13;7;3;2;2;2;1,Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase,GPHN,sp|Q9NQX3|GEPH_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|F5H039|F5H039_HUMAN Molybdopterin molybdenumtransferase OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1;tr|G3V582|G3V582_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1,13,13,23.9,4.09271599355779,3.98362812786341,27.8024264336879,27.8770124057021
Q92917,Q92917,12,12,12,G patch domain and KOW motifs-containing protein,GPKOW,sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2,12,12,39.3,4.09271599355779,3.98362812786341,27.6075961479759,28.0249597225772
Q9HCN4;F8WD09,Q9HCN4,5;1,5;1,5;1,GPN-loop GTPase 1,GPN1,sp|Q9HCN4|GPN1_HUMAN GPN-loop GTPase 1 OS=Homo sapiens OX=9606 GN=GPN1 PE=1 SV=1,5,5,21.1,4.09271599355779,3.98362812786341,26.457152017821,25.7877077093454
Q7Z2K8,Q7Z2K8,24,24,24,G protein-regulated inducer of neurite outgrowth 1,GPRIN1,sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2,24,24,34.4,4.09271599355779,3.98362812786341,28.9761812622822,28.4987260945049
P57764;E9PIB2;G3V1A6,P57764;E9PIB2;G3V1A6,2;2;2,2;2;2,2;2;2,Gasdermin-D,GSDMD,"sp|P57764|GSDMD_HUMAN Gasdermin-D OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|E9PIB2|E9PIB2_HUMAN Gasdermin-D (Fragment) OS=Homo sapiens OX=9606 GN=GSDMD PE=1 SV=1;tr|G3V1A6|G3V1A6_HUMAN Gasdermin domain containing 1, isoform CRA_d OS=Homo sapiens OX=960",2,2,6.2,4.09271599355779,3.98362812786341,24.1755422412435,24.6890719228955
Q14687;H0Y613;H7C3B5,Q14687;H0Y613,3;3;1,3;3;1,3;3;1,Genetic suppressor element 1,GSE1,sp|Q14687|GSE1_HUMAN Genetic suppressor element 1 OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=3;tr|H0Y613|H0Y613_HUMAN Genetic suppressor element 1 (Fragment) OS=Homo sapiens OX=9606 GN=GSE1 PE=1 SV=1,3,3,3.7,4.09271599355779,3.98362812786341,25.116364586613,25.1266798991128
P15170;H3BR35;H3BSV8,P15170;H3BR35,7;7;2,2;2;1,2;2;1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,7,2,14.0,4.09271599355779,3.98362812786341,24.4065885814332,24.0589542256766
Q8IYD1,Q8IYD1,8,8,3,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,GSPT2,sp|Q8IYD1|ERF3B_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens OX=9606 GN=GSPT2 PE=1 SV=2,8,3,18.8,4.09271599355779,3.98362812786341,26.658808346809,26.4225718283198
P00390,P00390,2,2,2,"Glutathione reductase, mitochondrial",GSR,"sp|P00390|GSHR_HUMAN Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",2,2,4.4,24.0096659923508,21.0157310804287,4.49389273847095,4.43205595859272
Q8NEC7;D6RCC4;D6RCC9;D6R9W2,Q8NEC7;D6RCC4;D6RCC9;D6R9W2,2;1;1;1,2;1;1;1,2;1;1;1,Glutathione S-transferase C-terminal domain-containing protein,GSTCD,sp|Q8NEC7|GSTCD_HUMAN Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens OX=9606 GN=GSTCD PE=1 SV=2;tr|D6RCC4|D6RCC4_HUMAN Glutathione S-transferase C-terminal domain-containing protein (Fragment) OS=Homo sapiens OX=9606 GN=GSTC,2,2,4.3,4.09271599355779,3.98362812786341,22.3283856721932,23.2843270943648
P78417;Q5TA02;Q5TA01,P78417;Q5TA02;Q5TA01,7;6;5,7;6;5,7;6;5,Glutathione S-transferase omega-1,GSTO1,sp|P78417|GSTO1_HUMAN Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2;tr|Q5TA02|Q5TA02_HUMAN Glutathione S-transferase omega-1 (Fragment) OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=1;tr|Q5TA01|Q5TA01_HUMAN Glutathione S-transfera,7,7,26.6,4.09271599355779,3.98362812786341,27.0351711132298,26.9358452252021
P52655;J3KNC0,P52655;J3KNC0,4;3,4;3,4;3,Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain,GTF2A1,sp|P52655|TF2AA_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1;tr|J3KNC0|J3KNC0_HUMAN Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1,4,4,21.8,4.09271599355779,3.98362812786341,26.9842452936278,26.2929860361134
P29083;E9PER7;C9J329;C9IYL4,P29083;E9PER7,12;6;3;3,12;6;3;3,12;6;3;3,General transcription factor IIE subunit 1,GTF2E1,sp|P29083|T2EA_HUMAN General transcription factor IIE subunit 1 OS=Homo sapiens OX=9606 GN=GTF2E1 PE=1 SV=2;tr|E9PER7|E9PER7_HUMAN General transcription factor IIE subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=GTF2E1 PE=1 SV=1,12,12,32.1,4.09271599355779,3.98362812786341,28.1067438314537,27.7400823343526
P29084;E5RH41;E5RIW4;E5RK24,P29084,13;6;3;2,13;6;3;2,13;6;3;2,Transcription initiation factor IIE subunit beta,GTF2E2,sp|P29084|T2EB_HUMAN Transcription initiation factor IIE subunit beta OS=Homo sapiens OX=9606 GN=GTF2E2 PE=1 SV=1,13,13,50.5,4.09271599355779,3.98362812786341,29.2494333677161,28.9106221460097
P35269;M0R0Z3;M0QXD6;M0R0R9,P35269;M0R0Z3;M0QXD6;M0R0R9,4;3;3;2,4;3;3;2,4;3;3;2,General transcription factor IIF subunit 1,GTF2F1,sp|P35269|T2FA_HUMAN General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2;tr|M0R0Z3|M0R0Z3_HUMAN Transcription initiation factor IIF subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=1;tr|M0QXD6|M0QXD6_HUM,4,4,11.2,4.09271599355779,3.98362812786341,26.4607492168943,25.6696878581068
P13984,P13984,11,11,11,General transcription factor IIF subunit 2,GTF2F2,sp|P13984|T2FB_HUMAN General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,11,11,51.0,4.09271599355779,3.98362812786341,27.5425933666315,27.5504679172282
A0A494C1K3;P78347;A0A494C0Q7,A0A494C1K3;P78347,5;4;2,5;4;2,5;4;2,General transcription factor II-I,GTF2I,tr|A0A494C1K3|A0A494C1K3_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=1;sp|P78347|GTF2I_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,5,5,6.6,4.09271599355779,3.98362812786341,26.6065375999491,24.52169148704
Q12789;H3BU55;H3BRD0;H3BU37,Q12789,22;2;2;2,22;2;2;2,20;2;2;2,General transcription factor 3C polypeptide 1,GTF3C1,sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4,22,20,13.1,4.09271599355779,3.98362812786341,28.4588891772012,27.8534095063987
Q9UKN8;F2Z356,Q9UKN8,13;1,13;1,13;1,General transcription factor 3C polypeptide 4,GTF3C4,sp|Q9UKN8|TF3C4_HUMAN General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2,13,13,19.2,4.09271599355779,3.98362812786341,27.5971887333906,27.6575141749238
Q9Y5Q8;Q5T7U1;Q5T7U0;H7BY84;Q5T7U4;H0Y5D2,Q9Y5Q8;Q5T7U1;Q5T7U0;H7BY84,9;8;5;5;4;3,9;8;5;5;4;3,9;8;5;5;4;3,General transcription factor 3C polypeptide 5,GTF3C5,sp|Q9Y5Q8|TF3C5_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=2;tr|Q5T7U1|Q5T7U1_HUMAN General transcription factor 3C polypeptide 5 OS=Homo sapiens OX=9606 GN=GTF3C5 PE=1 SV=1;tr|Q5T7U0|Q5T7U0_HUMAN General,9,9,22.0,4.09271599355779,3.98362812786341,26.89642923357,26.8342451559753
Q9UBP9;H0Y6R1,Q9UBP9;H0Y6R1,2;1,2;1,2;1,PTB domain-containing engulfment adapter protein 1,GULP1,sp|Q9UBP9|GULP1_HUMAN PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1;tr|H0Y6R1|H0Y6R1_HUMAN PTB domain-containing engulfment adapter protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1,2,2,6.9,4.09271599355779,3.98362812786341,24.4560711067733,24.4049675219658
P46976;G5E9W8;C9JQ42,P46976;G5E9W8;C9JQ42,4;3;3,4;3;3,4;3;3,Glycogenin-1,GYG1,"sp|P46976|GLYG_HUMAN Glycogenin-1 OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=4;tr|G5E9W8|G5E9W8_HUMAN Glycogenin 1, isoform CRA_e OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=1;tr|C9JQ42|C9JQ42_HUMAN Glycogenin-1 (Fragment) OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=",4,4,16.9,4.09271599355779,3.98362812786341,26.4298353957797,26.0953088039999
P07305,P07305,3,3,3,"Histone H1.0;Histone H1.0, N-terminally processed",H1F0,sp|P07305|H10_HUMAN Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,3,3,12.4,23.8711712896802,20.6799970574726,23.6927474453229,24.6321747426747
O14929;F8W9G7,O14929,7;1,7;1,7;1,Histone acetyltransferase type B catalytic subunit,HAT1,sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1,7,7,28.4,4.09271599355779,3.98362812786341,28.5142374666356,28.1709284196016
Q7Z4H7;Q5VY60;Q5SYF9,Q7Z4H7;Q5VY60,24;24;10,24;24;10,24;24;10,HAUS augmin-like complex subunit 6,HAUS6,sp|Q7Z4H7|HAUS6_HUMAN HAUS augmin-like complex subunit 6 OS=Homo sapiens OX=9606 GN=HAUS6 PE=1 SV=2;tr|Q5VY60|Q5VY60_HUMAN HAUS augmin-like complex subunit 6 OS=Homo sapiens OX=9606 GN=HAUS6 PE=1 SV=1,24,24,35.1,4.09271599355779,3.98362812786341,28.924563536176,28.5902442109537
Q9Y450;B7Z524;H0YDX7;J3QT46;E9PHZ9;H0YES5;E9PN23;E9PS53;G5E991;E9PMN1;E9PLR4;E9PJ90,Q9Y450;B7Z524;H0YDX7;J3QT46,18;15;15;15;7;6;3;3;3;3;3;2,18;15;15;15;7;6;3;3;3;3;3;2,18;15;15;15;7;6;3;3;3;3;3;2,HBS1-like protein,HBS1L,sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|B7Z524|B7Z524_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|H0YDX7|H0YDX7_HUMAN HBS1-like protein (Fragment) OS=Homo sapiens OX=9606 GN=HBS1L PE=1,18,18,36.7,22.8862301901621,21.2557895523529,28.0784172292835,28.0827373635108
P51610;A6NEM2;H7C1C4;Q9Y5Z7,P51610;A6NEM2,37;37;4;1,37;37;4;1,37;37;4;1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2;tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,37,37,26.3,27.5150274794549,24.0821282458996,31.9669175490796,31.8077785268379
Q92769;Q13547;Q5TEE2,Q92769,3;1;1,3;1;1,3;1;1,Histone deacetylase 2,HDAC2,sp|Q92769|HDAC2_HUMAN Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,3,3,8.2,4.09271599355779,3.98362812786341,25.2161197170526,24.5861759584604
Q9UQL6;K7EJL4;K7EJL6;P56524;Q8WUI4;K7EJZ7;K7ES01;C9J0X4;C9J481;A0A087WYQ4;H0YH91;J3KPH8,Q9UQL6,12;4;3;2;1;1;1;1;1;1;1;1,12;4;3;2;1;1;1;1;1;1;1;1,10;3;3;1;0;1;1;1;1;0;0;0,Histone deacetylase 5,HDAC5,sp|Q9UQL6|HDAC5_HUMAN Histone deacetylase 5 OS=Homo sapiens OX=9606 GN=HDAC5 PE=1 SV=2,12,10,15.2,4.09271599355779,3.98362812786341,26.8324353773049,27.0332816695127
