Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MAGEA4,-2.15901575488439,0.000426552994481493,P43358;C9JZJ5;C9J9C2;C9JK50;C9JIR1;P43361;P43363;P43355;P43362;O60732;O15480;A2A368;Q96M61;A8MXT2;Q3SYA6;A0A0A0MSA3,P43358,17;6;6;6;6;5;3;2;2;1;1;1;1;1;1;1,17;6;6;6;6;5;3;2;2;1;1;1;1;1;1;1,17;6;6;6;6;5;3;2;2;1;1;1;1;1;1;1,Melanoma-associated antigen 4,sp|P43358|MAGA4_HUMAN Melanoma-associated antigen 4 OS=Homo sapiens OX=9606 GN=MAGEA4 PE=1 SV=2,16,17,17,17,15,13,8,9,15,13,8,9,15,13,8,9,37.5,37.5,37.5,34.899,317,317;171;217;230;241;318;369;309;315;1142;346;324;343;336;266;356,0.0,49.142,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50658,1.5051,18.692,48,5,Leave out requantified,0.50975,0.5474,0.47228,0.45633,1.6507,1.5167,1.3313,1.305,18.757,21.068,12.274,19.91,15,14,9,10,1,2,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.0,31.2,23.7,23.3,6978100000,4650600000,2327600000,2200700000,1470100000,730670000,2429200000,1599200000,830010000,991410000,670270000,321140000,1356700000,910990000,445750000,,,,1768,1101;1165;1166;2578;3339;3406;3407;3820;7258;9212;11170;12879;14877;19238;19239;19802;20656,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1255;1335;1336;2960;3842;3916;3917;4377;8464;10723;12986;14907;17156;22092;22093;22733;23692;23693,3238;3239;3240;3241;3446;3447;3448;3449;3450;3451;3452;7743;9832;9833;9834;9993;9994;9995;9996;9997;9998;9999;10000;10001;11095;11096;21230;21231;26968;26969;26970;26971;32705;32706;32707;32708;37417;37418;42953;42954;42955;55605;55606;55607;57182;57183;59555;59556;59557;59558;59559,6073;6074;6075;6076;6077;6078;6079;6080;6081;6082;6490;6491;6492;6493;6494;6495;6496;6497;6498;6499;6500;6501;6502;14843;18726;18727;18728;18729;18994;18995;18996;18997;18998;18999;19000;19001;19002;19003;20983;20984;20985;20986;20987;20988;39977;39978;39979;39980;50666;50667;50668;50669;50670;50671;50672;50673;50674;50675;61260;61261;61262;61263;61264;61265;61266;61267;61268;61269;61270;69661;69662;69663;79647;79648;79649;79650;79651;79652;104042;104043;104044;107131;107132;107133;107134;111599;111600;111601;111602;111603;111604;111605;111606;111607;111608;111609;111610;111611;111612;111613;111614,6076;6492;6501;14843;18728;19002;19003;20987;39980;50675;61263;69663;79649;104042;104044;107133;111604,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_1769,quanti,quanti,quanti,quanti
PSMC4,0.0841702254001753,0.73326126105799,P43686,P43686,12,12,12,26S protease regulatory subunit 6B,sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,1,12,12,12,4,5,7,8,4,5,7,8,4,5,7,8,40.0,40.0,40.0,47.366,418,418,0.0,19.099,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30943,0.73737,23.614,25,9,Leave out requantified,0.3343,0.31438,0.28898,0.30639,1.196,0.75976,0.71738,0.85268,13.03,24.1,20.083,28.023,3,5,8,9,1,1,4,3,Plateau,Leave out requantified,Leave out requantified,Leave out requantified,9.1,10.8,25.1,30.4,1365400000,1009900000,355490000,158230000,118270000,39952000,240750000,178000000,62748000,372600000,287870000,84729000,593800000,425740000,168060000,,,,1770,415;1785;3496;3860;4264;8016;9076;10556;12679;20116;20117;20877,True;True;True;True;True;True;True;True;True;True;True;True,471;2060;4017;4423;4882;9327;10561;12259;14683;23092;23093;23941,1181;5393;5394;10254;10255;11195;12259;23506;23507;23508;23509;26569;30882;30883;30884;30885;36861;36862;36863;36864;36865;58080;58081;58082;58083;58084;58085;60187,2203;10308;19495;19496;21152;23087;44378;44379;44380;49993;57804;57805;57806;57807;57808;57809;57810;57811;57812;68635;68636;68637;68638;68639;68640;68641;108882;108883;108884;108885;108886;108887;108888;108889;112811,2203;10308;19495;21152;23087;44379;49993;57809;68640;108885;108888;112811,,,,,-1,protein_1771,quanti,quanti,quanti,quanti
TSFM,2.10756285213001,0.00562836547874016,P43897;C9JT21;C9JG32;F8VPA7;F8VS27,P43897,5;2;1;1;1,5;2;1;1;1,5;2;1;1;1,"Elongation factor Ts, mitochondrial","sp|P43897|EFTS_HUMAN Elongation factor Ts, mitochondrial OS=Homo sapiens OX=9606 GN=TSFM PE=1 SV=2",5,5,5,5,1,1,4,5,1,1,4,5,1,1,4,5,30.8,30.8,30.8,35.39,325,325;168;140;200;230,0.0,5.4893,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38206,1.0761,16.806,12,0,Leave out requantified,0.26958,0.35931,0.37752,0.39317,0.83185,0.96545,1.1149,1.1057,0.0,,23.322,10.506,2,1,4,5,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,8.3,8.3,24.0,30.8,1194500000,855850000,338660000,57908000,48716000,9191400,46367000,30405000,15961000,421400000,297220000,124180000,668840000,479500000,189330000,,,,1771,4846;10253;10373;19691;20720,True;True;True;True;True,5547;11930;12059;22617;23761,13886;13887;30030;30031;30361;30362;30363;30364;30365;56902;56903;59726,26046;26047;26048;56189;56190;56191;56809;56810;56811;106666;106667;106668;106669;106670;106671;111924,26046;56189;56811;106668;111924,,,,,-1;-1;-1;-1;-1,protein_1772,quanti,quanti,quanti,quanti
PPIC,18.5177102590297,9.29939058178449e-08,P45877,P45877,2,2,2,Peptidyl-prolyl cis-trans isomerase C,sp|P45877|PPIC_HUMAN Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens OX=9606 GN=PPIC PE=1 SV=1,1,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,8.5,8.5,8.5,22.763,212,212,0.00094832,2.5907,,,By MS/MS,By MS/MS,1.093,2.5015,50.65,2,0,Median,,,1.5351,0.7782,,,3.5788,1.7485,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,3.8,8.5,58919000,28901000,30017000,0,0,0,0,0,0,28855000,12333000,16522000,30064000,16569000,13495000,,,,1772,8668;17811,True;True,10067;20455,25363;25364;51313,47741;95503;95504,47741;95504,,,,,-1,protein_1773,quanti,quanti,imputed MEC,imputed MEC
VDAC2,0.954720584232827,0.00887070069455071,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,16;15;11;11;6,16;15;11;11;6,16;15;11;11;6,Voltage-dependent anion-selective channel protein 2,sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;tr|A0A0A0MR02|A0A0A0MR02_HUMAN Voltage-dependent anion-selective channel protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=1;tr,5,16,16,16,10,12,13,14,10,12,13,14,10,12,13,14,57.8,57.8,57.8,31.566,294,294;282;194;204;109,0.0,72.702,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25774,0.73395,18.318,70,21,Leave out requantified,0.23081,0.25144,0.25816,0.29261,0.73963,0.67489,0.71427,0.83557,19.351,16.638,18.949,14.834,11,13,24,22,3,3,6,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.0,47.3,53.4,50.3,22229000000,17562000000,4667400000,1931400000,1557200000,374150000,2100500000,1654500000,446060000,7587000000,6016200000,1570700000,10611000000,8334100000,2276500000,,,,1773,2130;2910;2911;5430;5431;11987;11988;12036;13981;17275;18848;19621;20358;20470;20910;21149,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2438;3342;3343;3344;3345;6228;6229;6230;13905;13906;13963;13964;16141;19840;21612;22541;22542;23370;23490;23975;24247,6419;6420;6421;6422;8699;8700;8701;8702;8703;8704;8705;8706;8707;8708;8709;8710;15540;15541;15542;15543;15544;15545;15546;15547;15548;15549;15550;15551;15552;34886;34887;34888;34889;34890;34891;34892;35029;35030;35031;35032;35033;35034;35035;35036;40546;40547;40548;40549;49735;49736;49737;54312;56727;56728;56729;56730;56731;56732;56733;58760;58761;58762;59073;60271;60272;60273;60274;60940;60941;60942;60943,12196;12197;12198;12199;12200;12201;12202;12203;16637;16638;16639;16640;16641;16642;16643;16644;16645;16646;16647;16648;16649;29263;29264;29265;29266;29267;29268;29269;29270;29271;29272;29273;29274;29275;29276;29277;29278;29279;29280;29281;29282;64992;64993;64994;64995;64996;64997;64998;64999;65000;65001;65002;65003;65004;65005;65006;65245;65246;65247;65248;65249;65250;65251;65252;65253;65254;65255;65256;65257;65258;65259;65260;65261;65262;65263;65264;75459;75460;75461;75462;75463;75464;75465;75466;75467;75468;75469;75470;75471;75472;75473;75474;75475;75476;75477;75478;75479;75480;92226;92227;92228;92229;101540;106248;106249;106250;106251;106252;106253;106254;106255;106256;106257;106258;110185;110186;110187;110188;110738;112924;112925;112926;112927;112928;114160;114161;114162;114163;114164;114165;114166;114167;114168;114169;114170;114171,12200;16645;16649;29265;29282;64995;64998;65259;75473;92227;101540;106248;110187;110738;112925;114170,,,,,-1;-1;-1;-1;-1,protein_1774,quanti,quanti,quanti,quanti
CBX5,-0.0201299029763113,0.955817404299426,P45973;F8VNY3,P45973,7;2,6;2,6;2,Chromobox protein homolog 5,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,2,7,6,6,5,6,5,4,4,5,4,3,4,5,4,3,35.1,35.1,35.1,22.225,191,191;91,0.0,5.4623,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.72271,1.9685,5.3867,17,3,Leave out requantified,0.75891,0.95095,0.67398,0.57473,2.1774,2.3733,1.6901,1.6147,34.301,9.8506,27.933,53.801,3,5,6,3,0,0,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Median,32.5,35.1,30.4,28.8,983740000,512710000,471030000,94595000,57737000,36858000,182260000,105160000,77101000,355760000,173060000,182700000,351120000,176750000,174380000,,,,1774,2638;3422;5416;5906;6276;20132;20425,False;True;True;True;True;True;True,3030;3932;6209;6819;7267;23113;23114;23441,7902;7903;7904;7905;10033;15501;15502;17104;17105;17106;17107;18238;18239;58135;58136;58137;58138;58949;58950;58951;58952;58953;58954,15101;15102;15103;15104;19055;29203;29204;29205;32174;32175;32176;32177;32178;32179;32180;32181;34283;34284;34285;108969;108970;108971;108972;108973;108974;108975;108976;110527;110528;110529;110530;110531;110532;110533;110534;110535;110536;110537;110538,15104;19055;29203;32175;34283;108970;110535,582,,32,,-1;-1,protein_1775,quanti,quanti,quanti,quanti
USP5,-2.64170411857853,0.000292970714537447,P45974;F5H571,P45974,20;2,20;2,18;2,Ubiquitin carboxyl-terminal hydrolase 5,sp|P45974|UBP5_HUMAN Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,2,20,20,18,15,16,5,7,15,16,5,7,13,14,4,6,33.2,33.2,32.1,95.785,858,858;137,0.0,36.808,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36159,0.92313,19.748,47,14,Leave out requantified,0.25561,0.38165,0.43639,0.348,0.83784,0.95069,1.1014,0.89548,25.643,19.165,35.452,10.219,17,18,5,7,6,2,2,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,25.6,26.8,9.1,11.3,2114300000,1511900000,602480000,648770000,487210000,161560000,859020000,611670000,247350000,227350000,151740000,75610000,379210000,261240000,117970000,,,,1775,478;479;2852;4217;4218;4989;5645;6694;7443;7498;8673;8968;9329;13828;15325;16561;17149;18504;20029;20673,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,536;537;3277;4830;4831;5704;6500;7766;8662;8725;10073;10425;10850;15967;17663;19059;19697;21227;22986;23710,1333;1334;1335;1336;1337;8531;8532;12134;12135;12136;12137;12138;14285;14286;14287;14288;16239;19469;21717;21718;21719;21890;21891;21892;25376;26227;26228;27243;27244;40099;40100;44137;44138;44139;44140;47749;47750;49381;49382;53319;53320;57802;57803;57804;59604;59605;59606,2418;2419;2420;2421;2422;2423;2424;2425;2426;2427;16327;16328;22876;22877;22878;22879;22880;22881;22882;22883;26791;26792;26793;26794;26795;26796;30664;36574;36575;40832;40833;40834;40835;41203;41204;47762;49380;49381;49382;49383;51077;51078;74560;74561;74562;74563;81637;81638;81639;81640;81641;81642;88317;88318;88319;88320;91503;91504;91505;99570;99571;99572;108347;108348;108349;108350;111696;111697;111698,2419;2422;16328;22878;22882;26791;30664;36575;40835;41203;47762;49383;51077;74562;81641;88318;91503;99571;108348;111696,,,,,-1;-1,protein_1776,quanti,quanti,quanti,quanti
MKI67,22.3761279545956,6.52885321608192e-08,P46013,P46013,12,12,12,Antigen KI-67,sp|P46013|KI67_HUMAN Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,1,12,12,12,0,0,8,11,0,0,8,11,0,0,8,11,6.4,6.4,6.4,358.69,3256,3256,0.0,16.964,,,By MS/MS,By MS/MS,1.03,2.5815,17.552,19,4,Leave out requantified,,,1.1302,0.97842,,,2.7903,2.5791,,,20.057,19.049,0,0,8,11,0,0,0,4,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,4.6,5.8,885780000,429650000,456140000,0,0,0,0,0,0,322200000,158610000,163590000,563580000,271040000,292540000,,,,1776,1770;2281;2947;8859;9321;9914;9918;15756;16458;18904;18905;19375,True;True;True;True;True;True;True;True;True;True;True;True,2042;2617;3387;10285;10842;11558;11562;18140;18942;21675;21676;22258,5340;5341;6890;8798;8799;25869;27231;27232;29161;29162;29171;45358;45359;47440;54475;54476;54477;54478;56016,10228;10229;13248;13249;16789;48786;51064;51065;51066;54575;54576;54577;54586;83873;83874;83875;87811;101831;101832;101833;101834;101835;101836;101837;104888,10229;13248;16789;48786;51064;54575;54586;83873;87811;101832;101837;104888,,,,,-1,protein_1777,quanti,quanti,imputed MEC,imputed MEC
RANGAP1,-0.294990519965076,0.221341719580105,P46060;H0Y4Q3;B0QYT5;B0QYT4;B0QYT6,P46060,28;13;4;4;3,28;13;4;4;3,28;13;4;4;3,Ran GTPase-activating protein 1,sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,5,28,28,28,22,21,16,18,22,21,16,18,22,21,16,18,54.3,54.3,54.3,63.541,587,587;253;100;133;37,0.0,85.49,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47143,1.2951,28.172,87,13,Leave out requantified,0.51556,0.50744,0.44194,0.43842,1.6545,1.3518,1.2063,1.2763,36.857,34.508,18.797,25.276,24,22,20,21,5,1,5,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,44.5,50.3,34.2,40.7,6994200000,4383200000,2610900000,1080000000,655930000,424100000,1385700000,866630000,519020000,1629200000,1131200000,497990000,2899200000,1729500000,1169800000,,,,1777,623;910;1182;1954;2589;3782;5274;5275;7007;7826;7827;10706;11187;11188;12569;14088;14858;15949;16539;16540;16547;17669;17905;17906;19003;19047;19048;19912,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,691;1030;1354;2241;2972;4336;6037;6038;8165;8166;9109;9110;9111;12439;13003;13004;14562;16264;17135;18374;19036;19037;19044;20299;20553;20554;21792;21854;21855;22852,1737;1738;1739;1740;2663;2664;3485;3486;3487;3488;3489;3490;5876;5877;7759;7760;11006;11007;15077;15078;15079;15080;15081;15082;15083;20477;20478;20479;20480;20481;22932;22933;22934;22935;22936;22937;22938;31330;31331;31332;31333;31334;31335;32761;32762;32763;36553;36554;36555;36556;36557;36558;36559;40854;40855;40856;40857;40858;42902;42903;42904;45988;45989;47702;47703;47704;47705;47706;47707;47720;47721;50926;51524;51525;51526;51527;51528;51529;51530;54790;54791;54976;54977;54978;54979;54980;57472;57473;57474;57475,3116;3117;3118;3119;3120;3121;3122;3123;3124;3125;3126;3127;4939;4940;4941;4942;4943;4944;4945;4946;6554;6555;6556;6557;6558;6559;11212;11213;11214;11215;14866;20838;20839;28374;28375;28376;28377;28378;28379;28380;38606;38607;38608;38609;38610;38611;38612;38613;38614;38615;38616;43287;43288;43289;43290;43291;43292;43293;43294;43295;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;61354;61355;68081;68082;68083;68084;68085;68086;68087;68088;68089;68090;68091;68092;68093;68094;76038;76039;76040;76041;76042;76043;76044;76045;76046;76047;76048;79576;85106;88261;88262;88263;88264;88265;88266;88267;88268;88269;88288;88289;94748;95871;95872;95873;95874;95875;95876;95877;95878;95879;95880;95881;95882;95883;95884;95885;102470;102471;102472;102473;102474;102475;102476;102477;102894;102895;102896;102897;102898;102899;102900;102901;102902;107642;107643;107644;107645;107646;107647;107648;107649;107650;107651,3125;4941;6557;11212;14866;20839;28376;28380;38607;43288;43295;58669;61354;61355;68084;76045;79576;85106;88265;88268;88289;94748;95879;95883;102476;102901;102902;107651,,,,,-1;-1;-1;-1;-1,protein_1778,quanti,quanti,quanti,quanti
RECQL,0.27243955518562,0.531004266763266,P46063;F5H2L2;F8WA66;F8WD97,P46063,11;2;2;2,11;2;2;2,11;2;2;2,ATP-dependent DNA helicase Q1,sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3,4,11,11,11,4,5,7,6,4,5,7,6,4,5,7,6,24.0,24.0,24.0,73.457,649,649;131;199;211,0.0,28.719,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34305,0.937,19.561,25,9,Leave out requantified,0.28719,0.37603,0.37147,0.37413,0.72136,1.0065,1.0401,1.0446,26.461,20.666,19.969,15.231,4,6,8,7,1,1,4,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,9.9,12.5,15.3,13.3,1480500000,1008200000,472290000,120210000,86100000,34106000,291370000,197890000,93480000,495020000,313620000,181400000,573910000,410600000,163300000,,,,1778,806;1659;4041;4884;7242;8480;10535;13728;16268;18363;20891,True;True;True;True;True;True;True;True;True;True;True,903;1914;4627;4628;5590;8447;9851;12237;15860;18738;21066;23955,2293;2294;5027;5028;5029;11650;11651;11652;14007;21189;21190;21191;21192;21193;21194;24844;24845;30826;30827;39812;39813;46933;46934;52895;60217,4186;4187;4188;9626;9627;9628;9629;9630;9631;9632;9633;9634;9635;9636;21935;21936;21937;21938;21939;26257;26258;39912;39913;39914;39915;39916;39917;39918;39919;46798;46799;57716;57717;73981;73982;86882;86883;98663;112856,4188;9634;21937;26258;39918;46798;57717;73981;86883;98663;112856,,,,,-1;-1;-1;-1,protein_1779,quanti,quanti,quanti,quanti
NOP2,3.26184602925081,0.00346824258103827,P46087;F5GYR3;F5GWB7;F5H709;F5H5X6;F5H359;F5H8G6,P46087,26;6;4;4;4;2;2,26;6;4;4;4;2;2,26;6;4;4;4;2;2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,sp|P46087|NOP2_HUMAN Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,7,26,26,26,5,9,20,23,5,9,20,23,5,9,20,23,34.0,34.0,34.0,89.301,812,812;275;159;176;250;81;98,0.0,121.53,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31672,0.89032,16.675,62,19,Leave out requantified,0.28438,0.30968,0.33453,0.33153,0.81834,0.7683,0.92203,0.92988,13.045,36.998,23.996,12.175,5,9,24,24,3,3,6,7,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.4,10.2,27.5,32.3,7967500000,5892100000,2075400000,99722000,73149000,26572000,312730000,218660000,94068000,3146300000,2334600000,811670000,4408700000,3265600000,1143100000,,,,1779,2988;2992;3760;4683;4684;4945;5156;5189;5769;6544;7864;8217;9013;10425;10426;10768;12269;14167;14168;14767;14973;15223;17871;17998;19341;19342,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3437;3442;3443;4310;4311;5361;5362;5657;5897;5933;6655;7574;9150;9556;9557;10483;12113;12114;12511;14231;16350;16351;16352;17034;17269;17270;17548;20518;20655;22218;22219,8897;8898;8909;8910;8911;8912;8913;10951;10952;10953;10954;13440;13441;13442;13443;13444;13445;14166;14789;14790;14868;14869;16671;16672;18955;23035;23036;23037;24103;24104;24105;24106;26360;30495;30496;30497;30498;30499;30500;30501;31536;35710;35711;35712;35713;41075;41076;41077;41078;41079;41080;41081;42674;42675;43211;43212;43871;43872;43873;51449;51450;51784;51785;51786;55915;55916;55917,16937;16938;16939;16940;16941;16942;16943;16944;16945;16961;16962;16963;16964;16965;16966;16967;16968;16969;16970;16971;20751;20752;20753;20754;20755;25233;25234;25235;25236;25237;25238;25239;26553;26554;27854;27855;27856;27857;27984;27985;27986;27987;31419;31420;35579;43462;43463;43464;43465;43466;45435;45436;45437;45438;45439;45440;45441;45442;45443;45444;49630;57026;57027;57028;57029;57030;57031;57032;57033;57034;57035;57036;57037;58983;66509;66510;76468;76469;76470;76471;76472;76473;76474;79234;79235;79236;80131;80132;80133;81197;81198;95732;96311;96312;96313;96314;96315;96316;96317;104661;104662;104663,16943;16969;20754;25234;25239;26553;27855;27986;31420;35579;43463;45439;49630;57028;57037;58983;66510;76470;76473;79235;80133;81198;95732;96316;104661;104663,,,,,-1;-1;-1;-1;-1;-1;-1,protein_1780,quanti,quanti,quanti,quanti
RPL27A,-0.449441898935738,0.232633511267644,P46776;E9PJD9;E9PLL6;E9PLX7,P46776;E9PJD9;E9PLL6,11;9;9;4,11;9;9;4,11;9;9;4,60S ribosomal protein L27a,sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2;tr|E9PJD9|E9PJD9_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=1;tr|E9PLL6|E9PLL6_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=,4,11,11,11,6,6,8,7,6,6,8,7,6,6,8,7,52.0,52.0,52.0,16.561,148,148;91;108;113,0.0,33.403,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30133,0.91575,23.046,39,15,Leave out requantified,0.27182,0.2716,0.31873,0.40728,1.0287,0.82796,0.91805,1.1377,40.664,16.6,26.765,23.636,8,6,13,12,2,0,6,7,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,45.3,48.6,42.6,39.9,8724600000,6303200000,2421400000,1749900000,1377200000,372650000,1271000000,984670000,286340000,2551300000,1630300000,920930000,3152500000,2311000000,841530000,,,,1783,8124;8125;12391;13775;14061;14062;14063;15162;15775;16821;17265,True;True;True;True;True;True;True;True;True;True;True,9458;9459;9460;14369;15911;15912;15913;16231;16232;16233;17480;18164;19340;19829,23840;23841;23842;23843;23844;23845;23846;23847;23848;23849;23850;23851;23852;23853;23854;36084;39937;39938;39939;39940;39941;39942;39943;39944;39945;39946;40762;40763;40764;40765;40766;43737;43738;45423;45424;48464;48465;48466;48467;49706;49707;49708;49709,45000;45001;45002;45003;45004;45005;45006;45007;45008;45009;45010;45011;45012;45013;45014;45015;45016;45017;45018;45019;45020;67230;74258;74259;74260;74261;74262;74263;74264;74265;74266;74267;74268;74269;74270;74271;75857;75858;75859;75860;75861;75862;75863;75864;75865;75866;80955;80956;84044;84045;84046;89689;89690;89691;89692;89693;89694;89695;92167;92168;92169;92170;92171;92172;92173;92174;92175;92176,45007;45020;67230;74261;75858;75862;75866;80956;84045;89694;92172,583,,94,,-1;-1;-1;-1,protein_1784,quanti,quanti,quanti,quanti
