Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9ULE3;F8WAT8;C9IYZ8;C9JAA0;C9IY76;H7C5K8,Q9ULE3;F8WAT8,3;3;1;1;1;1,3;3;1;1;1;1,3;3;1;1;1;1,DENN domain-containing protein 2A,DENND2A,sp|Q9ULE3|DEN2A_HUMAN DENN domain-containing protein 2A OS=Homo sapiens OX=9606 GN=DENND2A PE=1 SV=4;tr|F8WAT8|F8WAT8_HUMAN DENN domain-containing protein 2A OS=Homo sapiens OX=9606 GN=DENND2A PE=1 SV=1,3,3,5.6,22.7430633712603,22.9965893392726,25.8777379602841,23.6161629200598
Q9NSV4,Q9NSV4,3,3,3,Protein diaphanous homolog 3,DIAPH3,sp|Q9NSV4|DIAP3_HUMAN Protein diaphanous homolog 3 OS=Homo sapiens OX=9606 GN=DIAPH3 PE=1 SV=4,3,3,4.9,4.20354318657847,4.29426065740498,25.1440211805532,24.8405255472708
Q68CQ4,Q68CQ4,3,3,3,Digestive organ expansion factor homolog,DIEXF,sp|Q68CQ4|DIEXF_HUMAN Digestive organ expansion factor homolog OS=Homo sapiens OX=9606 GN=DIEXF PE=1 SV=2,3,3,3.6,21.396498170454,23.7738434757309,4.42963131265863,4.37131702904701
Q96JB1;H0Y7V4;A0A075B6F3,Q96JB1;H0Y7V4;A0A075B6F3,3;3;3,3;3;3,3;3;3,"Dynein heavy chain 8, axonemal",DNAH8,"sp|Q96JB1|DYH8_HUMAN Dynein heavy chain 8, axonemal OS=Homo sapiens OX=9606 GN=DNAH8 PE=1 SV=2;tr|H0Y7V4|H0Y7V4_HUMAN Dynein heavy chain 8, axonemal OS=Homo sapiens OX=9606 GN=DNAH8 PE=1 SV=1;tr|A0A075B6F3|A0A075B6F3_HUMAN Dynein heavy chain 8, axonemal OS",3,3,1.0,28.956403499722,27.2740877589848,24.8414399835804,23.6109923674368
Q8TEK3,Q8TEK3,3,3,3,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",DOT1L,"sp|Q8TEK3|DOT1L_HUMAN Histone-lysine N-methyltransferase, H3 lysine-79 specific OS=Homo sapiens OX=9606 GN=DOT1L PE=1 SV=3",3,3,2.4,23.4656291279172,22.828499121077,23.1810480334904,21.9246269599053
P55039;A8MZF9;J3QR71;J3QRI9;J3QKW7;J3QL90;J3KRL5;J3QKV7,P55039;A8MZF9;J3QR71;J3QRI9;J3QKW7,3;2;2;2;2;1;1;1,3;2;2;2;2;1;1;1,3;2;2;2;2;1;1;1,Developmentally-regulated GTP-binding protein 2,DRG2,sp|P55039|DRG2_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|A8MZF9|A8MZF9_HUMAN Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1;tr|J3QR71|J3QR71_HUMAN Developme,3,3,11.3,4.20354318657847,4.29426065740498,23.6468030245642,24.1831361899324
P33316;H0YNW5;H0YKC5;H0YMM5;A0A0C4DGL3;H0YNJ9;H0YKI0;H0YMP1,P33316;H0YNW5;H0YKC5;H0YMM5;A0A0C4DGL3;H0YNJ9;H0YKI0,3;3;3;2;2;2;2;1,3;3;3;2;2;2;2;1,3;3;3;2;2;2;2;1,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,"sp|P33316|DUT_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4;tr|H0YNW5|H0YNW5_HUMAN Deoxyuridine 5-triphosphate nucleotidohydrolase OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=1;tr|H0YKC5|H0YKC5_H",3,3,16.3,22.4417456515429,23.4341537717716,25.7055648944353,25.4932001997
Q13409;E7EQL5;E9PGG1;E7EU01;E7ERR6;E7ETL8;E7EQU2;E7EV09,Q13409;E7EQL5,5;3;2;2;2;2;2;2,5;3;2;2;2;2;2;2,3;1;0;0;0;0;0;0,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,sp|Q13409|DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3;tr|E7EQL5|E7EQL5_HUMAN Cytoplasmic dynein 1 intermediate chain 2 (Fragment) OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=1,5,3,12.1,4.20354318657847,4.29426065740498,25.6452368935275,24.5539718655667
Q7L2H7;E9PN86;J3KNJ2;E9PRI2;E9PRY0;E7ESM3,Q7L2H7;E9PN86;J3KNJ2,3;2;2;1;1;1,3;2;2;1;1;1,3;2;2;1;1;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|E9PN86|E9PN86_HUMAN Eukaryotic translation initiation factor 3 subunit M (Fragment) OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1;tr|J3KNJ,3,3,11.2,24.7169621841333,25.0138336732672,24.2185975266551,23.9590765261506
Q9BQ52;G5E9D5;E7ES68;J3QRS2;V9GYU5;J3QL08;V9GYS7,Q9BQ52;G5E9D5;E7ES68,3;3;2;1;1;1;1,3;3;2;1;1;1;1,3;3;2;1;1;1;1,Zinc phosphodiesterase ELAC protein 2,ELAC2,"sp|Q9BQ52|RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2;tr|G5E9D5|G5E9D5_HUMAN ElaC homolog 2 (E. coli), isoform CRA_a OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=1;tr|E7ES68|E7ES68_HUMAN Zinc phosphodiesterase EL",3,3,6.5,26.8018099763693,26.9337487573959,23.6017290834508,21.8970388893848
Q92979;V9GYP5;A0A087WWQ2;A0A087WVM7,Q92979;V9GYP5;A0A087WWQ2,3;3;3;1,3;3;3;1,3;3;3;1,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,sp|Q92979|NEP1_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=4;tr|V9GYP5|V9GYP5_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 (Fragment) OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=2;tr|A0A087WWQ2|A,3,3,18.4,25.0957112181725,22.8351082238414,4.42963131265863,4.37131702904701
O43768;A6NMQ3;Q5T5H1;A0A1W2PRU0;P56211;H3BQ52;H3BTD3;H3BMD8,O43768;A6NMQ3;Q5T5H1;A0A1W2PRU0,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,Alpha-endosulfine,ENSA,sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A6NMQ3|A6NMQ3_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=2;tr|Q5T5H1|Q5T5H1_HUMAN Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1;tr|A0A1W2,3,3,36.4,4.20354318657847,4.29426065740498,26.063610676774,25.8774571437302
P58107;A0A075B730,P58107;A0A075B730,7;7,3;3,3;3,Epiplakin,EPPK1,sp|P58107|EPIPL_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3;tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,7,3,7.0,24.3063994031758,24.9012432006481,23.2684232084496,22.4197493443523
O00471;F8W9B8;A0A0A0MSI8,O00471;F8W9B8;A0A0A0MSI8,3;3;2,3;3;2,3;3;2,Exocyst complex component 5,EXOC5,sp|O00471|EXOC5_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;tr|F8W9B8|F8W9B8_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN Exocyst complex component 5 OS=Homo sa,3,3,9.3,23.9865906453864,24.9046470967094,24.3228551274354,23.7124035710624
Q6P995,Q6P995,3,3,3,Protein FAM171B,FAM171B,sp|Q6P995|F171B_HUMAN Protein FAM171B OS=Homo sapiens OX=9606 GN=FAM171B PE=2 SV=3,3,3,6.2,4.20354318657847,4.29426065740498,25.7324425910744,23.7827679079175
Q6V0I7,Q6V0I7,3,3,3,Protocadherin Fat 4,FAT4,sp|Q6V0I7|FAT4_HUMAN Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2,3,3,1.2,4.20354318657847,4.29426065740498,29.7632083389711,24.6211472948335
P22087;M0R0P1;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0;M0R299;A6NHQ2,P22087;M0R0P1;M0QXL5;M0R2Q4;M0R2U2;M0R1H0;M0R2B0;M0R299,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,3;3;3;3;2;2;2;2;1,rRNA 2-O-methyltransferase fibrillarin,FBL,sp|P22087|FBRL_HUMAN rRNA 2-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2;tr|M0R0P1|M0R0P1_HUMAN rRNA 2-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=1;tr|M0QXL5|M0QXL5_HUMAN rRNA 2-O-methyl,3,3,12.5,24.7152871271145,24.7366030091787,23.8437393722741,23.3639935461289
P21333;F8WE98;H0Y5F3;H7C2E7;A0A669KBC6,P21333,156;34;12;4;2,156;34;12;4;2,3;2;0;0;0,Filamin-A,FLNA,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,156,3,71.9,35.0546795763173,35.3686053577691,38.2090557648136,37.9577245481085
Q96CP2;I3L1Y9;I3L4I0,Q96CP2;I3L1Y9;I3L4I0,3;3;2,3;3;2,3;3;2,FLYWCH family member 2,FLYWCH2,sp|Q96CP2|FWCH2_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L1Y9|I3L1Y9_HUMAN FLYWCH family member 2 OS=Homo sapiens OX=9606 GN=FLYWCH2 PE=1 SV=1;tr|I3L4I0|I3L4I0_HUMAN FLYWCH family member 2 (Fragment) OS=Homo sapiens OX,3,3,30.0,22.8718105071658,23.5006950527874,22.0711690339097,23.6950863766311
Q9Y2H6;H7C507;A0A087X1M6;G5E9X3,Q9Y2H6;H7C507,3;2;1;1,3;2;1;1,3;2;1;1,Fibronectin type-III domain-containing protein 3A,FNDC3A,sp|Q9Y2H6|FND3A_HUMAN Fibronectin type-III domain-containing protein 3A OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=4;tr|H7C507|H7C507_HUMAN Fibronectin type-III domain-containing protein 3A (Fragment) OS=Homo sapiens OX=9606 GN=FNDC3A PE=1 SV=1,3,3,4.3,23.7997730848939,24.207171648661,25.1949410671896,24.7904089313308
P15407;E9PPX2,P15407,3;1,3;1,3;1,Fos-related antigen 1,FOSL1,sp|P15407|FOSL1_HUMAN Fos-related antigen 1 OS=Homo sapiens OX=9606 GN=FOSL1 PE=1 SV=1,3,3,16.2,22.1205426968892,23.2484094188538,24.9711456723848,23.1471229241958
Q14331;E9PRR7,Q14331;E9PRR7,3;3,3;3,3;3,Protein FRG1,FRG1,sp|Q14331|FRG1_HUMAN Protein FRG1 OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1;tr|E9PRR7|E9PRR7_HUMAN Protein FRG1 (Fragment) OS=Homo sapiens OX=9606 GN=FRG1 PE=1 SV=1,3,3,16.7,24.213266819423,24.3974777520327,4.42963131265863,4.37131702904701
P41250,P41250,3,3,3,Glycine--tRNA ligase,GARS,sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3,3,3,7.3,4.20354318657847,4.29426065740498,24.7630911719424,23.2759710107864
Q9UJY5;B0QYR6,Q9UJY5;B0QYR6,4;2,3;1,3;1,ADP-ribosylation factor-binding protein GGA1,GGA1,sp|Q9UJY5|GGA1_HUMAN ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1;tr|B0QYR6|B0QYR6_HUMAN ADP-ribosylation factor-binding protein GGA1 (Fragment) OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,4,3,7.7,4.20354318657847,4.29426065740498,23.3421810357449,24.3674638106445
O14908;K7EM11;Q8TF64;A0A2R8Y651,O14908;K7EM11,3;2;1;1,3;2;1;1,3;2;1;1,PDZ domain-containing protein GIPC1,GIPC1,sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2;tr|K7EM11|K7EM11_HUMAN PDZ domain-containing protein GIPC1 (Fragment) OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=1,3,3,11.7,4.20354318657847,4.29426065740498,24.4433528434583,24.5282056034262
P46926;D6RAY7;D6R9P4;D6RFF8;Q8TDQ7;D6RFK5;V9GYW0;V9GYK3;D6R917;D6RB13,P46926;D6RAY7;D6R9P4;D6RFF8,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1,Glucosamine-6-phosphate isomerase 1;Glucosamine-6-phosphate isomerase,GNPDA1,sp|P46926|GNPI1_HUMAN Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6RAY7|D6RAY7_HUMAN Glucosamine-6-phosphate isomerase (Fragment) OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1;tr|D6R9P4|D6R9P4_HUMAN Glucosamine-6-phosp,3,3,18.3,4.20354318657847,4.29426065740498,24.8387957545083,24.2570269442324
Q8N954,Q8N954,3,3,3,G patch domain-containing protein 11,GPATCH11,sp|Q8N954|GPT11_HUMAN G patch domain-containing protein 11 OS=Homo sapiens OX=9606 GN=GPATCH11 PE=1 SV=4,3,3,10.5,24.4034063317465,24.4797585584027,25.2955455919835,24.934271089704
P15170;H3BR35;H3BSV8,P15170;H3BR35,8;8;3,8;8;3,3;3;2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,GSPT1,sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;tr|H3BR35|H3BR35_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Fragment) OS=Homo sapiens OX=9606 G,8,3,17.4,4.20354318657847,4.29426065740498,26.3648785890375,25.844673395773
P33402,P33402,3,3,3,Guanylate cyclase soluble subunit alpha-2,GUCY1A2,sp|P33402|GCYA2_HUMAN Guanylate cyclase soluble subunit alpha-2 OS=Homo sapiens OX=9606 GN=GUCY1A2 PE=1 SV=1,3,3,7.0,24.687577731486,23.0074605459588,4.42963131265863,4.37131702904701
O75367;D6RCF2;Q9P0M6;B4DJC3;Q5SQT3,O75367;D6RCF2;Q9P0M6,3;3;2;1;1,3;3;2;1;1,3;3;2;1;1,Core histone macro-H2A.1;Histone H2A;Core histone macro-H2A.2,H2AFY;H2AFY2,sp|O75367|H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4;tr|D6RCF2|D6RCF2_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=1;sp|Q9P0M6|H2AW_HUMAN Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A,3,3,12.4,24.6629147567062,25.1252614747722,4.42963131265863,4.37131702904701
Q9UBN7;A0A2R8YDE6;A0A2R8Y5Z4;A0A2R8YD35;C9J172;Q9BRX7;A0A2R8YCS4;E7EP63;E7ER52;A6NDI8,Q9UBN7;A0A2R8YDE6,3;3;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1,Histone deacetylase 6,HDAC6,sp|Q9UBN7|HDAC6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=2;tr|A0A2R8YDE6|A0A2R8YDE6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=1,3,3,3.9,26.3569489315133,26.668849718518,28.1277526409801,27.0278093351284
Q9NRV9;A0A3B3IRV5;F5GWX2;H0YG71,Q9NRV9;A0A3B3IRV5;F5GWX2,3;3;2;1,3;3;2;1,3;3;2;1,Heme-binding protein 1,HEBP1,sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|A0A3B3IRV5|A0A3B3IRV5_HUMAN Heme-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1;tr|F5GWX2|F5GWX2_HUMAN Heme-binding protein 1 OS=Homo sapien,3,3,26.5,4.20354318657847,4.29426065740498,25.7306040535249,24.8243481476345
P16403,P16403,12,3,3,Histone H1.2,HIST1H1C,sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,12,3,28.6,29.0372414097301,29.2266257363689,24.2563791727447,23.508936969077
P10412;P16402;P22492,P10412;P16402,12;9;4,12;9;4,3;0;0,Histone H1.4;Histone H1.3,HIST1H1E;HIST1H1D,sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2;sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,12,3,27.9,30.387820297857,31.0952811339013,27.0236914191629,26.189371245062
Q16695;P68431;P84243;Q71DI3;K7EMV3;A0A590UJJ6;B4DEB1;K7EK07;K7ES00;Q6NXT2;K7EP01,Q16695;P68431;P84243;Q71DI3;K7EMV3;A0A590UJJ6;B4DEB1;K7EK07;K7ES00,4;3;3;3;3;3;3;3;3;1;1,4;3;3;3;3;3;3;3;3;1;1,3;2;2;2;2;2;2;2;2;0;0,Histone H3.1t;Histone H3.1;Histone H3.3;Histone H3.2;Histone H3,HIST3H3;HIST1H3A;H3F3A;HIST2H3A;H3F3B,sp|Q16695|H31T_HUMAN Histone H3.1t OS=Homo sapiens OX=9606 GN=H3-4 PE=1 SV=3;sp|P68431|H31_HUMAN Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2;sp|P84243|H33_HUMAN Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2;sp|Q71DI3|H32_HUMAN Histone,4,3,37.5,26.3385813428402,25.3827796811565,25.3318332353327,24.4187333120727
Q96RW7,Q96RW7,3,3,3,Hemicentin-1,HMCN1,sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2,3,3,1.0,20.7526256486832,23.2853152900379,23.0995044870265,23.9119195372976
P17096,P17096,3,3,3,High mobility group protein HMG-I/HMG-Y,HMGA1,sp|P17096|HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,3,3,23.4,24.4709755646821,23.9711456723848,23.4583885890488,24.3339496754476
Q03933,Q03933,3,3,3,Heat shock factor protein 2,HSF2,sp|Q03933|HSF2_HUMAN Heat shock factor protein 2 OS=Homo sapiens OX=9606 GN=HSF2 PE=1 SV=1,3,3,6.7,24.2414723250469,23.671632628171,4.42963131265863,4.37131702904701
O75874;C9J4N6;P48735;C9JJE5;C9JLU6,O75874;C9J4N6,3;3;1;1;1,3;3;1;1;1,3;3;1;1;1,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2;tr|C9J4N6|C9J4N6_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment) OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=1,3,3,7.0,4.20354318657847,4.29426065740498,25.0255089746457,24.4544403757475
Q9BW83;F5GZ09;B1AH58;H0Y6C7;B1AH56,Q9BW83;F5GZ09;B1AH58;H0Y6C7,3;3;2;2;1,3;3;2;2;1,3;3;2;2;1,Intraflagellar transport protein 27 homolog,IFT27,sp|Q9BW83|IFT27_HUMAN Intraflagellar transport protein 27 homolog OS=Homo sapiens OX=9606 GN=IFT27 PE=1 SV=1;tr|F5GZ09|F5GZ09_HUMAN Intraflagellar transport protein 27 homolog (Fragment) OS=Homo sapiens OX=9606 GN=IFT27 PE=1 SV=1;tr|B1AH58|B1AH58_HUMAN Int,3,3,17.7,4.20354318657847,4.29426065740498,24.9240197898053,23.4808680867948
Q9NV31,Q9NV31,3,3,3,U3 small nucleolar ribonucleoprotein protein IMP3,IMP3,sp|Q9NV31|IMP3_HUMAN U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens OX=9606 GN=IMP3 PE=1 SV=1,3,3,23.4,24.2303734927889,25.2671018464781,4.42963131265863,4.37131702904701
Q9ULR0;D6RC18;A8MVI5,Q9ULR0,3;1;1,3;1;1,3;1;1,Pre-mRNA-splicing factor ISY1 homolog,ISY1,sp|Q9ULR0|ISY1_HUMAN Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens OX=9606 GN=ISY1 PE=1 SV=3,3,3,9.8,24.7394901531323,24.3559532408623,23.8028208281794,24.1229732981769
P17535,P17535,4,3,3,Transcription factor jun-D,JUND,sp|P17535|JUND_HUMAN Transcription factor jun-D OS=Homo sapiens OX=9606 GN=JUND PE=1 SV=3,4,3,25.9,24.5127390163121,24.7701170108497,25.84357332016,25.3643275883729
Q15046;J3KRL2;H3BPV7;H3BVA8,Q15046,3;1;1;1,3;1;1;1,3;1;1;1,Lysine--tRNA ligase,KARS,sp|Q15046|SYK_HUMAN Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,3,3,5.0,4.20354318657847,4.29426065740498,24.5645346942338,23.8503364186493
O15550;H0Y5J3;A0A096LPD8;A0A087X2I9;F5GWV3;A0A087X0R0;F5H8B4;O14607;H0Y6I7;A0A087X248;F5H5V6;F5H6S1;F5H3N7;F8W8R6;A0A087X0Y2;H7C1F1,O15550;H0Y5J3;A0A096LPD8;A0A087X2I9;F5GWV3;A0A087X0R0;F5H8B4;O14607;H0Y6I7;A0A087X248;F5H5V6;F5H6S1;F5H3N7;F8W8R6;A0A087X0Y2,3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1,3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1,3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1,Lysine-specific demethylase 6A;Histone demethylase UTY,KDM6A;UTY,sp|O15550|KDM6A_HUMAN Lysine-specific demethylase 6A OS=Homo sapiens OX=9606 GN=KDM6A PE=1 SV=2;tr|H0Y5J3|H0Y5J3_HUMAN Lysine-specific demethylase 6A (Fragment) OS=Homo sapiens OX=9606 GN=KDM6A PE=1 SV=1;tr|A0A096LPD8|A0A096LPD8_HUMAN Histone demethylase U,3,3,3.9,22.971952548827,22.4317842490652,4.42963131265863,4.37131702904701
Q9P206,Q9P206,3,3,3,Uncharacterized protein KIAA1522,KIAA1522,sp|Q9P206|K1522_HUMAN Uncharacterized protein KIAA1522 OS=Homo sapiens OX=9606 GN=KIAA1522 PE=1 SV=2,3,3,4.9,4.20354318657847,4.29426065740498,24.1848771584766,24.4123506937282
Q15058,Q15058,3,3,3,Kinesin-like protein KIF14,KIF14,sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens OX=9606 GN=KIF14 PE=1 SV=1,3,3,2.4,22.885113192849,23.7785114644104,22.9705138889321,21.2680233563185
Q8NI77,Q8NI77,4,4,3,Kinesin-like protein KIF18A,KIF18A,sp|Q8NI77|KI18A_HUMAN Kinesin-like protein KIF18A OS=Homo sapiens OX=9606 GN=KIF18A PE=1 SV=2,4,3,8.8,22.7100715432421,24.1194946368138,25.9006269391652,22.9654672514084
O60333;A0A087WWA3;Q4R9M9;A0A0U1RQL3;A0A3B3ITK3,O60333;A0A087WWA3;Q4R9M9,6;6;6;2;2,6;6;6;2;2,3;3;3;2;0,Kinesin-like protein KIF1B;Kinesin-like protein,KIF1B;KIF1Bbeta,sp|O60333|KIF1B_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=5;tr|A0A087WWA3|A0A087WWA3_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=1;tr|Q4R9M9|Q4R9M9_HUMAN Kinesin family member 1Bbeta isoform II,6,3,4.8,4.20354318657847,4.29426065740498,25.9190486141338,23.6280075899799
Q5VUJ6,Q5VUJ6,3,3,3,Leucine-rich repeat and calponin homology domain-containing protein 2,LRCH2,sp|Q5VUJ6|LRCH2_HUMAN Leucine-rich repeat and calponin homology domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LRCH2 PE=1 SV=2,3,3,6.4,4.20354318657847,4.29426065740498,23.9830276825974,24.252630787398
Q9BX40;Q5TBQ0;Q5TBQ1;A0A0C4DFV2,Q9BX40;Q5TBQ0,7;5;3;2,7;5;3;2,3;2;2;2,Protein LSM14 homolog B,LSM14B,sp|Q9BX40|LS14B_HUMAN Protein LSM14 homolog B OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1;tr|Q5TBQ0|Q5TBQ0_HUMAN Protein LSM14 homolog B (Fragment) OS=Homo sapiens OX=9606 GN=LSM14B PE=1 SV=1,7,3,26.8,21.637192663325,21.7209639697735,27.1733134342643,27.3384963359144
S4R3V8;Q86X29,S4R3V8;Q86X29,3;2,3;2,3;2,Lipolysis-stimulated lipoprotein receptor,LSR,tr|S4R3V8|S4R3V8_HUMAN Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens OX=9606 GN=LSR PE=1 SV=2;sp|Q86X29|LSR_HUMAN Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens OX=9606 GN=LSR PE=1 SV=4,3,3,7.0,25.4752191073077,25.7303765985218,23.6943425824488,24.2822779618452
Q9Y383;V9GZ75;F8WEU3;A0A0A6YYJ8,Q9Y383,3;1;1;1,3;1;1;1,3;1;1;1,Putative RNA-binding protein Luc7-like 2,LUC7L2,sp|Q9Y383|LC7L2_HUMAN Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2,3,3,10.2,25.2000778206015,24.7643573381792,4.42963131265863,4.37131702904701
